laptop_id,serial_number,listed_date,ram_gb,storage_gb,screen_size_in,weight_kg,battery_hours,brand,cpu_brand,gpu_brand,laptop_type,os,price
LAP-000343,SN-53936723,2024-01-08,32,512.0,17.3,2.55,8.4,Acer,Apple Silicon,Integrada,Business,macOS,828.01
LAP-003064,SN-20209633,2022-02-09,16,512.0,16.0,1.19,,Apple,Intel,NVIDIA,Ultrabook,Windows,1990.7
LAP-005041,SN-65785342,2022-04-05,4,128.0,17.4,1.05,10.1,HP,AMD,NVIDIA,Business,Linux,951.19
LAP-001463,SN-29348647,2024-07-06,16,256.0,15.6,2.45,11.0,Dell,Intel,Integrada,Business,Windows,713.56
LAP-006491,SN-42364693,2023-03-05,8,512.0,15.6,1.59,4.4,Acer,Intel,Integrada,Ultrabook,Windows,746.19
LAP-005701,SN-27326749,2024-06-01,32,256.0,13.3,2.44,5.0,Asus,Apple Silicon,AMD Radeon,Gaming,macOS,1484.63
LAP-009923,SN-73266575,2022-09-20,32,512.0,15.6,2.28,7.9,HP,AMD,NVIDIA,2 en 1,Windows,1411.99
LAP-017871,SN-59429010,2024-03-26,32,256.0,15.6,0.9,6.4,Samsung,AMD,Integrada,Notebook,Windows,674.72
LAP-006923,SN-49509787,2023-04-28,8,1024.0,14.0,2.44,7.8,MSI,AMD,AMD Radeon,Gaming,Windows,1780.73
LAP-016685,SN-54108813,2022-06-07,64,512.0,16.0,1.34,6.9,Apple,Intel,Integrada,2 en 1,Windows,1971.61
LAP-008176,SN-98035989,2023-01-22,16,128.0,13.3,1.98,7.9,HP,Intel,NVIDIA,Gaming,Windows,1323.53
LAP-005722,SN-77486095,2021-11-24,4,512.0,15.5,2.35,7.1,Apple,AMD,Integrada,Notebook,Windows,1039.2
LAP-019999,SN-34164925,2023-11-21,16,1024.0,13.3,2.62,9.4,Asus,Intel,AMD Radeon,Ultrabook,Windows,1278.24
LAP-001359,SN-55547618,2021-09-21,32,512.0,13.9,2.16,7.9,Lenovo,Intel,Integrada,2 en 1,Windows,1140.17
LAP-006619,SN-56227584,2023-04-14,8,256.0,14.0,2.1,7.2,Dell,AMD,AMD Radeon,Ultrabook,ChromeOS,919.71
LAP-008396,SN-56592332,2023-07-14,4,512.0,15.6,1.06,10.8,Apple,Intel,NVIDIA,Ultrabook,Linux,1836.0
LAP-009984,SN-60170134,2023-10-28,32,512.0,15.7,2.13,8.9,Lenovo,AMD,NVIDIA,2 en 1,Windows,1525.78
LAP-004300,SN-18359115,2024-01-18,16,512.0,14.0,1.28,4.6,Lenovo,Apple Silicon,Integrada,Notebook,macOS,539.08
LAP-011122,SN-82006127,2023-05-14,16,256.0,16.1,1.48,12.1,Lenovo,Intel,Integrada,Notebook,Windows,736.18
LAP-019996,SN-43534202,2021-08-20,8,512.0,17.3,3.03,8.8,HP,Intel,Integrada,Gaming,Windows,1033.08
LAP-012084,SN-36296244,2021-02-18,8,512.0,17.2,1.86,8.4,MSI,Intel,Integrada,2 en 1,Windows,1007.4
LAP-018529,SN-52781283,2023-11-01,8,256.0,15.6,0.9,7.2,HP,Intel,Integrada,2 en 1,Windows,620.93
LAP-013528,SN-26659554,2022-06-07,16,256.0,17.3,1.98,8.0,Apple,AMD,NVIDIA,Notebook,Windows,1833.19
LAP-013185,SN-95390767,2021-07-20,4,256.0,15.7,1.79,9.0,Asus,Intel,NVIDIA,2 en 1,Linux,943.0
LAP-000246,SN-42050102,2023-08-25,8,512.0,13.3,2.14,,MSI,Intel,Integrada,2 en 1,Windows,850.63
LAP-011659,SN-36994168,2023-12-14,32,512.0,16.0,1.08,10.0,MSI,AMD,Integrada,Notebook,Windows,934.4
LAP-011447,SN-48139681,2022-07-31,8,128.0,16.0,1.31,7.2,Samsung,AMD,NVIDIA,2 en 1,Linux,1161.77
LAP-019037,SN-83328924,2023-12-24,16,1024.0,16.0,3.32,9.5,Lenovo,Intel,Integrada,Gaming,ChromeOS,1237.27
LAP-001998,SN-35884286,2024-09-26,16,1024.0,17.3,1.0,7.3,Lenovo,AMD,Integrada,2 en 1,Windows,1056.53
LAP-013464,SN-85853257,2021-08-17,64,512.0,16.0,2.39,5.4,MSI,Intel,AMD Radeon,Gaming,Windows,2204.99
LAP-016447,SN-93464654,2022-03-02,8,128.0,13.9,1.49,8.8,Samsung,AMD,AMD Radeon,2 en 1,Windows,979.77
LAP-010668,SN-87912231,2022-08-31,16,256.0,13.3,2.2,8.3,Asus,Intel,Integrada,2 en 1,Windows,820.05
LAP-006556,SN-40776822,2024-09-16,8,128.0,13.3,2.63,5.9,HP,Intel,Integrada,Notebook,Windows,416.7
LAP-011271,SN-90764705,2021-07-07,16,256.0,16.0,,5.5,Apple,Apple Silicon,NVIDIA,Notebook,macOS,1700.34
LAP-007322,SN-82819494,2021-02-01,32,512.0,13.3,1.49,10.3,Samsung,Apple Silicon,Integrada,2 en 1,macOS,1119.51
LAP-018184,SN-95991590,2024-05-14,32,1024.0,17.3,1.79,10.0,Asus,Intel,AMD Radeon,Ultrabook,Windows,1574.55
LAP-016426,SN-64799906,2023-08-10,32,512.0,13.3,1.03,7.0,MSI,AMD,NVIDIA,Notebook,Windows,1394.2
LAP-015440,SN-37611423,2022-09-03,16,512.0,13.4,2.33,3.3,Asus,Intel,NVIDIA,2 en 1,Windows,1149.59
LAP-019579,SN-71870489,2024-10-29,8,512.0,16.0,1.45,10.0,Samsung,Intel,Integrada,Business,Windows,859.39
LAP-003128,SN-34022777,2021-09-15,32,512.0,15.6,1.15,7.5,Acer,AMD,Integrada,2 en 1,Windows,951.02
LAP-015399,SN-67004244,2024-11-22,32,1024.0,15.7,1.57,4.9,Acer,AMD,Integrada,2 en 1,Windows,1148.17
LAP-012733,SN-61977115,2022-11-26,4,256.0,17.3,2.57,7.4,Asus,Intel,NVIDIA,Business,Windows,1014.67
LAP-017581,SN-26935201,2024-01-15,16,1024.0,17.3,1.18,9.0,Samsung,AMD,AMD Radeon,Ultrabook,ChromeOS,1541.8
LAP-006020,SN-25363256,2024-04-30,8,256.0,14.0,1.66,,Lenovo,Intel,Integrada,Business,ChromeOS,397.29
LAP-010394,SN-58091277,2023-06-24,32,256.0,14.0,2.59,6.1,Lenovo,Apple Silicon,Integrada,Gaming,macOS,1144.77
LAP-013690,SN-86998247,2022-12-18,8,512.0,16.0,2.3,8.6,MSI,Intel,AMD Radeon,Business,Windows,1168.07
LAP-015365,SN-44986383,2024-05-09,32,128.0,13.3,3.29,,Asus,AMD,Integrada,Gaming,Windows,1145.83
LAP-008037,SN-45978459,2023-10-04,64,1024.0,15.6,2.52,8.3,Dell,AMD,Integrada,Business,Windows,1392.95
LAP-011996,SN-65711367,2022-05-15,4,1024.0,13.3,2.06,5.6,Dell,Intel,NVIDIA,Business,Windows,1118.08
LAP-018707,SN-47826528,2023-02-19,8,256.0,15.6,2.8,8.9,Apple,Intel,Integrada,Gaming,Windows,1685.98
LAP-007155,SN-21402152,2023-04-21,32,512.0,15.6,2.32,6.7,Lenovo,Intel,NVIDIA,Business,Windows,1690.24
LAP-017981,SN-83406155,2023-02-21,32,256.0,14.0,2.13,7.5,Samsung,Intel,AMD Radeon,Notebook,Windows,926.6
LAP-018590,SN-34378074,2023-01-31,32,128.0,13.2,2.46,,Acer,Intel,AMD Radeon,2 en 1,Windows,1145.12
LAP-017229,SN-48104539,2022-12-30,8,128.0,15.7,1.56,5.8,Dell,Intel,Integrada,Notebook,Linux,348.0
LAP-001989,SN-35787637,2022-09-04,16,512.0,15.6,2.32,7.2,Samsung,AMD,Integrada,2 en 1,Windows,889.05
LAP-002047,SN-10793992,2024-05-23,16,256.0,14.0,1.73,5.8,Acer,Intel,Integrada,Business,Windows,549.6
LAP-008283,SN-42086255,2022-12-10,4,512.0,14.0,1.07,7.7,Acer,Intel,Integrada,2 en 1,Windows,560.3
LAP-019980,SN-27088805,2024-10-19,16,512.0,16.1,2.76,7.9,Asus,Intel,AMD Radeon,Gaming,Windows,1450.4
LAP-001073,SN-99116318,2022-01-19,8,256.0,15.6,2.45,7.1,Acer,Intel,Integrada,Gaming,Windows,812.48
LAP-008732,SN-11383197,2024-09-28,8,256.0,15.9,2.32,9.8,Asus,AMD,Integrada,2 en 1,Windows,547.01
LAP-008743,SN-51580847,2024-02-05,16,512.0,15.5,1.66,10.5,Dell,Apple Silicon,Integrada,Notebook,macOS,539.78
LAP-008505,SN-43744542,2022-07-10,16,512.0,16.0,1.55,11.7,HP,AMD,NVIDIA,Ultrabook,Windows,1345.25
LAP-016725,SN-16107997,2022-12-26,16,512.0,15.6,2.71,2.7,Asus,Intel,Integrada,Notebook,Windows,708.54
LAP-009913,SN-29704038,2023-09-29,8,256.0,13.2,1.77,6.3,MSI,AMD,AMD Radeon,Business,Windows,803.14
LAP-007640,SN-92019105,2021-07-28,8,256.0,15.6,1.65,8.8,Apple,AMD,AMD Radeon,Notebook,Windows,1346.94
LAP-011845,SN-37813341,2022-12-06,32,128.0,16.1,1.06,10.0,Apple,AMD,AMD Radeon,2 en 1,Windows,1799.24
LAP-006821,SN-19644801,2023-09-25,32,256.0,15.6,3.23,6.1,Apple,Apple Silicon,NVIDIA,Gaming,macOS,2332.87
LAP-002182,SN-35965447,2023-07-25,8,256.0,15.6,1.87,7.6,Acer,Apple Silicon,NVIDIA,Business,macOS,970.31
LAP-011029,SN-74237514,2023-01-08,16,512.0,14.0,1.43,5.3,Dell,AMD,Integrada,Ultrabook,Windows,817.88
LAP-018807,SN-68371190,2024-09-05,8,256.0,14.0,3.32,8.3,Asus,AMD,Integrada,Gaming,Windows,1062.47
LAP-004797,SN-83873678,2024-09-24,32,2048.0,15.5,1.07,,Dell,Intel,NVIDIA,Business,Windows,1730.27
LAP-014449,SN-24993693,2023-07-24,64,,13.3,2.94,11.0,Apple,Apple Silicon,Integrada,Gaming,macOS,1880.84
LAP-009685,SN-53973861,2024-02-14,32,1024.0,15.6,2.23,7.3,Lenovo,Intel,NVIDIA,Business,Windows,1650.81
LAP-011150,SN-41456616,2023-09-18,8,512.0,13.3,2.65,7.7,Dell,Intel,NVIDIA,Gaming,Windows,1423.4
LAP-014078,SN-93432177,2024-09-20,16,1024.0,17.2,1.07,,HP,Intel,Integrada,Notebook,Windows,615.08
LAP-003558,SN-88521370,2022-08-19,8,512.0,16.0,2.22,10.1,HP,AMD,Integrada,Business,Windows,548.98
LAP-001141,SN-76412546,2024-08-12,32,512.0,16.0,2.4,4.8,Lenovo,Intel,Integrada,Ultrabook,Windows,1193.15
LAP-002780,SN-58231041,2024-04-12,4,256.0,15.6,1.5,9.3,Lenovo,Intel,NVIDIA,Ultrabook,Windows,1189.18
LAP-006304,SN-56673874,2022-08-21,64,256.0,16.1,1.59,9.5,Lenovo,AMD,Integrada,Ultrabook,Windows,1432.37
LAP-005891,SN-45135069,2021-12-01,8,512.0,15.6,3.3,8.2,Asus,AMD,NVIDIA,Gaming,Windows,1461.78
LAP-008163,SN-36845683,2022-02-08,16,1024.0,15.6,2.22,4.9,Lenovo,AMD,AMD Radeon,2 en 1,Windows,1158.8
LAP-018991,SN-94657347,2024-11-10,16,512.0,16.1,1.15,8.6,HP,Intel,Integrada,Business,Windows,498.01
LAP-011299,SN-64852828,2023-07-30,32,256.0,17.3,1.25,6.0,HP,Intel,AMD Radeon,Business,Windows,1163.36
LAP-011172,SN-55713454,2023-06-14,8,256.0,15.7,1.18,7.9,HP,Intel,NVIDIA,2 en 1,Windows,1113.24
LAP-017232,SN-92742953,2021-06-20,16,512.0,17.3,0.93,9.1,MSI,Apple Silicon,Integrada,Notebook,macOS,912.37
LAP-012431,SN-49161973,2023-11-02,32,128.0,13.3,1.91,5.8,HP,AMD,NVIDIA,Ultrabook,Windows,1276.49
LAP-008040,SN-25926986,2024-10-14,8,512.0,16.0,3.17,6.3,Samsung,Intel,AMD Radeon,Gaming,Windows,1291.63
LAP-006907,SN-89333825,2021-12-09,8,512.0,15.6,2.82,9.0,Dell,AMD,Integrada,Gaming,Windows,1163.0
LAP-004253,SN-14145540,2021-07-01,8,512.0,13.4,1.91,6.7,Lenovo,Intel,Integrada,Ultrabook,Windows,687.25
LAP-013890,SN-31763133,2024-02-01,32,256.0,13.9,2.16,9.6,MSI,Intel,Integrada,Ultrabook,ChromeOS,1021.65
LAP-003208,SN-53590780,2021-01-24,8,256.0,16.0,2.01,9.3,Asus,Intel,AMD Radeon,Business,Windows,879.84
LAP-002528,SN-48439597,2023-03-06,16,2048.0,17.3,1.39,9.1,Dell,AMD,Integrada,Ultrabook,Linux,1454.13
LAP-006093,SN-42371452,2021-03-14,32,1024.0,15.6,2.11,5.8,Asus,Intel,AMD Radeon,2 en 1,Windows,1435.39
LAP-018636,SN-49219475,2023-03-18,8,512.0,14.0,2.34,10.6,Samsung,Apple Silicon,Integrada,Gaming,macOS,1020.07
LAP-010888,SN-71769262,2022-03-13,8,512.0,16.0,3.43,10.0,Lenovo,Intel,AMD Radeon,Gaming,Linux,1364.87
LAP-017128,SN-61540103,2022-10-10,8,512.0,14.0,2.04,10.5,Acer,AMD,NVIDIA,Notebook,Windows,889.51
LAP-012618,SN-19752328,2022-01-18,32,1024.0,14.0,2.01,10.8,Dell,Intel,Integrada,Notebook,Windows,1105.61
LAP-007122,SN-51579672,2023-09-11,32,512.0,15.6,1.25,7.0,Acer,AMD,Integrada,Business,Windows,914.11
LAP-000072,SN-24585523,2022-11-25,8,128.0,15.6,1.63,4.1,Asus,Intel,Integrada,Ultrabook,Linux,611.11
LAP-002164,SN-64835852,2024-05-23,8,512.0,15.6,1.3,5.0,Samsung,Intel,NVIDIA,Ultrabook,Windows,1158.39
LAP-008567,SN-91694743,2021-10-07,4,512.0,17.4,1.33,6.7,HP,Intel,Integrada,Business,Windows,818.23
LAP-011358,SN-16344242,2024-09-05,16,256.0,15.6,1.98,8.9,Asus,Intel,NVIDIA,Business,Windows,1191.7
LAP-012825,SN-28275573,2024-10-29,16,512.0,13.3,2.16,8.7,Asus,AMD,Integrada,Business,ChromeOS,754.9
LAP-010449,SN-75160450,2021-02-14,16,256.0,17.3,2.35,10.6,Asus,Intel,NVIDIA,Business,Windows,1303.52
LAP-002465,SN-25953023,2022-10-26,16,1024.0,13.9,2.18,7.0,HP,AMD,Integrada,2 en 1,Windows,921.27
LAP-016748,SN-75001720,2024-01-31,16,256.0,13.3,1.77,7.6,Lenovo,Intel,NVIDIA,Notebook,Windows,898.44
LAP-014921,SN-17272645,2024-03-17,16,1024.0,15.9,2.06,8.7,Asus,Intel,Integrada,Notebook,Linux,928.59
LAP-000516,SN-93762016,2021-09-16,16,256.0,13.2,1.11,7.1,Samsung,Intel,NVIDIA,Notebook,Windows,1100.97
LAP-008947,SN-50935270,2024-05-05,16,512.0,15.6,2.33,9.5,Dell,Intel,Integrada,Business,Windows,919.04
LAP-010685,SN-65597398,2023-06-03,8,512.0,14.0,2.41,8.9,MSI,Intel,Integrada,Gaming,Windows,1152.49
LAP-006916,SN-88299172,2021-11-23,16,256.0,17.4,2.54,5.5,Dell,Intel,Integrada,Gaming,Windows,1101.06
LAP-000387,SN-97756012,2021-09-02,8,128.0,16.0,1.97,6.0,MSI,AMD,Integrada,Notebook,Linux,645.72
LAP-010864,SN-55229709,2023-10-03,4,2048.0,15.6,1.1,6.6,MSI,Intel,AMD Radeon,Notebook,Windows,1165.1
LAP-019307,SN-56923983,2021-12-23,16,512.0,16.0,2.31,,Apple,Intel,Integrada,Ultrabook,Windows,1648.61
LAP-017419,SN-50534940,2021-03-25,32,1024.0,15.7,2.54,11.5,Lenovo,Intel,Integrada,2 en 1,Windows,1256.31
LAP-011272,SN-50874255,2021-10-04,32,256.0,15.6,2.77,6.0,Acer,AMD,Integrada,2 en 1,Windows,924.26
LAP-011288,SN-96026231,2021-04-19,32,256.0,13.3,1.9,9.3,Lenovo,Intel,NVIDIA,2 en 1,Windows,1326.06
LAP-002874,SN-71388793,2021-06-14,32,512.0,17.3,1.07,7.1,Asus,Intel,Integrada,Business,Windows,1053.25
LAP-001296,SN-66102858,2023-07-14,32,,15.6,1.93,8.7,Lenovo,AMD,Integrada,Notebook,Linux,900.79
LAP-006131,SN-33714786,2022-06-18,8,512.0,13.3,1.33,9.8,Asus,AMD,NVIDIA,2 en 1,Windows,1103.05
LAP-009266,SN-80793679,2021-05-08,16,512.0,13.3,1.55,7.8,Acer,Apple Silicon,Integrada,Notebook,macOS,368.98
LAP-019193,SN-21653388,2021-09-19,16,1024.0,17.3,2.98,9.7,HP,AMD,NVIDIA,Gaming,Windows,1738.38
LAP-000290,SN-66265979,2022-08-31,16,1024.0,14.0,1.71,9.4,MSI,Intel,Integrada,Notebook,Windows,983.02
LAP-011146,SN-46076542,2021-11-14,8,256.0,17.3,2.55,5.5,Lenovo,Intel,Integrada,Gaming,Linux,1067.3
LAP-005543,SN-63430727,2022-08-12,8,256.0,17.3,2.01,9.9,MSI,Intel,Integrada,Ultrabook,Windows,1003.43
LAP-013319,SN-75665822,2024-09-07,16,1024.0,15.6,1.69,,Asus,Intel,Integrada,Ultrabook,Windows,1144.07
LAP-014942,SN-65241704,2024-01-03,16,1024.0,15.7,1.36,15.2,Samsung,Intel,NVIDIA,Ultrabook,Windows,1453.28
LAP-019281,SN-60111994,2024-01-18,16,512.0,15.6,1.98,14.7,Apple,Intel,AMD Radeon,2 en 1,Windows,1688.46
LAP-014817,SN-93854607,2023-02-05,32,1024.0,13.4,2.51,8.0,Acer,Intel,NVIDIA,Ultrabook,Windows,1676.57
LAP-017588,SN-84614774,2024-07-14,32,1024.0,14.0,2.04,6.6,Acer,AMD,NVIDIA,Business,Windows,1440.0
LAP-018998,SN-81491137,2021-10-26,32,512.0,14.0,1.87,4.3,Asus,AMD,Integrada,Ultrabook,Windows,1161.99
LAP-009820,SN-79037447,2024-03-26,4,2048.0,13.3,3.07,6.2,MSI,Apple Silicon,Integrada,Business,macOS,1031.31
LAP-011799,SN-35849044,2022-01-01,4,512.0,15.6,2.06,7.7,Dell,Intel,Integrada,Notebook,Windows,568.43
LAP-018097,SN-76387933,2024-08-17,4,256.0,15.7,1.54,6.7,Samsung,Intel,Integrada,Notebook,Windows,566.63
LAP-019009,SN-96599350,2024-06-25,8,128.0,16.0,2.52,8.7,Acer,Intel,AMD Radeon,Notebook,Linux,631.32
LAP-019475,SN-80590142,2022-11-21,32,1024.0,14.1,2.01,8.0,HP,Intel,AMD Radeon,2 en 1,Windows,1201.25
LAP-007639,SN-39752300,2023-10-21,32,256.0,15.6,1.01,6.2,MSI,AMD,NVIDIA,Ultrabook,Windows,1604.16
LAP-007806,SN-25569183,2024-05-12,4,512.0,17.3,1.95,6.0,HP,Intel,Integrada,2 en 1,Windows,746.26
LAP-010468,SN-39206378,2021-10-15,32,512.0,15.7,1.55,3.9,MSI,Apple Silicon,Integrada,Ultrabook,macOS,1198.68
LAP-005611,SN-72829261,2021-04-15,16,2048.0,15.5,2.77,8.2,HP,Intel,NVIDIA,Notebook,Windows,1309.73
LAP-011903,SN-26135213,2023-01-20,4,128.0,13.2,2.19,8.0,Asus,Apple Silicon,NVIDIA,Business,macOS,834.46
LAP-004711,SN-59177111,2022-01-08,32,512.0,17.4,2.6,7.8,MSI,AMD,AMD Radeon,Gaming,Windows,1671.74
LAP-017067,SN-73377829,2023-07-22,32,512.0,13.3,1.99,7.3,Samsung,AMD,Integrada,2 en 1,Windows,1053.04
LAP-000943,SN-78407125,2023-06-19,16,512.0,13.3,2.43,4.5,Asus,Intel,Integrada,2 en 1,Windows,967.51
LAP-002349,SN-93445386,2024-02-29,16,256.0,17.3,1.47,9.0,Acer,Intel,Integrada,Ultrabook,Windows,840.6
LAP-010064,SN-46821817,2021-06-02,16,512.0,13.9,1.73,5.8,Dell,Intel,NVIDIA,Notebook,Windows,1049.23
LAP-012893,SN-69893969,2022-06-13,8,512.0,13.3,1.59,6.7,Apple,AMD,NVIDIA,Ultrabook,Windows,1796.67
LAP-011330,SN-32775411,2023-08-13,16,128.0,14.0,2.36,6.8,Samsung,AMD,AMD Radeon,Notebook,ChromeOS,834.15
LAP-015771,SN-86050862,2024-02-04,16,512.0,14.0,2.25,6.0,Lenovo,AMD,Integrada,Gaming,Windows,1244.97
LAP-000891,SN-65142581,2024-02-25,8,256.0,14.0,2.14,7.7,Apple,Intel,Integrada,Gaming,Windows,1556.73
LAP-007429,SN-91760158,2023-01-27,16,512.0,17.4,2.13,8.3,MSI,Intel,Integrada,Notebook,Windows,856.04
LAP-017089,SN-29888355,2023-05-06,16,512.0,14.1,1.79,8.2,Lenovo,AMD,NVIDIA,Business,Windows,1116.68
LAP-010300,SN-78820096,2023-06-29,8,2048.0,15.6,1.84,10.4,Dell,Apple Silicon,Integrada,Business,macOS,1093.23
LAP-010460,SN-11856650,2024-02-01,4,128.0,16.1,0.96,6.3,Samsung,AMD,Integrada,Notebook,Windows,325.53
LAP-014634,SN-43352127,2021-04-20,4,512.0,16.0,1.31,5.8,Dell,Intel,NVIDIA,Business,Windows,1139.63
LAP-006869,SN-48998741,2023-12-19,8,256.0,15.6,1.6,8.2,Dell,AMD,NVIDIA,Notebook,Windows,1016.76
LAP-018674,SN-98322888,2024-01-18,8,2048.0,13.3,1.68,3.5,MSI,Intel,Integrada,Notebook,Windows,955.26
LAP-007868,SN-53879501,2024-04-27,32,512.0,14.0,2.14,10.0,Acer,AMD,Integrada,Gaming,Windows,1271.93
LAP-000455,SN-61458078,2024-11-30,8,256.0,13.3,1.42,7.5,Acer,AMD,Integrada,2 en 1,Windows,667.41
LAP-016225,SN-68743777,2021-03-13,8,256.0,15.6,2.92,7.7,Samsung,Intel,Integrada,Gaming,Windows,959.49
LAP-008096,SN-31120857,2021-04-06,32,256.0,15.6,1.94,10.1,Lenovo,Intel,Integrada,2 en 1,Windows,1011.55
LAP-008958,SN-91343325,2021-11-07,16,256.0,15.6,,12.5,Asus,AMD,NVIDIA,2 en 1,Windows,1242.03
LAP-011156,SN-33469004,2021-06-30,8,1024.0,14.0,1.45,8.2,HP,Intel,NVIDIA,Notebook,Windows,944.75
LAP-008952,SN-38546793,2021-08-30,8,512.0,15.6,1.93,4.9,Lenovo,Apple Silicon,Integrada,2 en 1,macOS,626.6
LAP-005709,SN-73586621,2022-07-18,16,128.0,17.3,2.62,9.3,MSI,Intel,Integrada,Ultrabook,ChromeOS,1097.35
LAP-009137,SN-36565960,2024-06-28,16,512.0,15.6,1.69,7.4,Acer,AMD,Integrada,2 en 1,Windows,842.38
LAP-008134,SN-45160363,2023-06-26,16,256.0,13.3,2.28,7.3,Apple,Apple Silicon,Integrada,Notebook,macOS,976.97
LAP-010590,SN-20387865,2022-12-16,8,512.0,14.0,1.02,11.6,Samsung,Intel,AMD Radeon,2 en 1,Windows,1198.91
LAP-004691,SN-67947669,2021-07-22,16,256.0,15.6,1.62,10.1,Dell,Intel,AMD Radeon,2 en 1,Windows,988.67
