house_id,listing_address,sale_date,lot_area,year_built,bedrooms,bathrooms,garage_cars,neighborhood,house_style,overall_qual,central_air,sale_condition,sale_price
HOUSE-011650,3112 Main St #11650,2021-04-11,7192.0,1961.0,2,1.5,1.0,OldTown,2.5Unf,6,Y,Normal,234033.0
HOUSE-007115,3159 Main St #7115,2024-04-09,6713.0,1960.0,4,4.0,3.0,Gilbert,1Story,8,Y,Normal,306154.0
HOUSE-006385,73 Main St #6385,2021-06-22,5021.0,1966.0,6,3.0,4.0,Somerst,2Story,2,Y,Normal,253247.0
HOUSE-019189,5876 Main St #19189,2020-04-16,7969.0,1975.0,4,2.5,1.0,CollegeCr,2.5Unf,8,Y,Normal,304703.0
HOUSE-009366,6558 Main St #9366,2021-05-20,1999.0,1921.0,2,2.0,,Somerst,1.5Fin,6,Y,Normal,262365.0
HOUSE-002862,4452 Main St #2862,2021-03-06,2830.0,2000.0,2,1.0,2.0,Edwards,2Story,4,Y,Normal,215692.0
HOUSE-006600,2340 Main St #6600,2024-07-08,3748.0,1900.0,3,3.5,0.0,Edwards,2Story,9,Y,Normal,234280.0
HOUSE-011626,8417 Main St #11626,2023-01-27,10153.0,1936.0,5,1.0,2.0,Somerst,SFoyer,7,Y,Normal,352414.0
HOUSE-003405,9639 Main St #3405,2023-01-09,4532.0,1923.0,1,2.0,3.0,Edwards,1Story,10,Y,Normal,267725.0
HOUSE-008393,2665 Main St #8393,2024-11-17,3003.0,,5,1.0,0.0,Gilbert,1Story,10,Y,Abnormal,329989.0
HOUSE-000718,1224 Main St #718,2021-01-29,4983.0,2022.0,2,2.0,2.0,Sawyer,SFoyer,3,Y,Normal,200597.0
HOUSE-002725,1513 Main St #2725,2022-01-01,8531.0,1987.0,1,2.5,0.0,NridgHt,2.5Unf,10,Y,Normal,420697.0
HOUSE-018720,3666 Main St #18720,2020-05-17,5573.0,1974.0,2,4.0,4.0,Gilbert,2Story,6,Y,Normal,308620.0
HOUSE-006896,2867 Main St #6896,2020-09-20,6303.0,1968.0,4,3.0,2.0,Somerst,1.5Fin,7,Y,Normal,370679.0
HOUSE-003710,3815 Main St #3710,2023-07-07,8360.0,1926.0,5,2.0,2.0,Sawyer,SFoyer,3,Y,Normal,189060.0
HOUSE-002935,9933 Main St #2935,2024-01-04,4427.0,1935.0,3,2.5,2.0,Gilbert,2Story,5,Y,Normal,191512.0
HOUSE-010933,390 Main St #10933,2021-02-20,4080.0,2000.0,4,1.0,2.0,Sawyer,1.5Fin,4,Y,Normal,235741.0
HOUSE-018361,3608 Main St #18361,2020-06-11,3910.0,2001.0,2,2.5,1.0,Edwards,1Story,6,Y,Normal,291123.0
HOUSE-003649,3431 Main St #3649,2024-12-15,3223.0,2002.0,6,1.5,1.0,NridgHt,SLvl,7,Y,Normal,334822.0
HOUSE-019814,2020 Main St #19814,2023-08-12,7394.0,1957.0,1,1.5,4.0,OldTown,SLvl,8,Y,Abnormal,267266.0
HOUSE-005834,3309 Main St #5834,2023-07-12,,1991.0,4,2.5,0.0,CollegeCr,1Story,2,Y,Normal,234236.0
HOUSE-018979,1774 Main St #18979,2021-09-10,5431.0,1911.0,4,2.0,2.0,OldTown,1Story,6,Y,Normal,226732.0
HOUSE-003798,1592 Main St #3798,2021-01-09,3991.0,1906.0,6,1.5,1.0,NWAmes,SLvl,4,Y,Normal,163814.0
HOUSE-003068,8463 Main St #3068,2021-04-21,4560.0,1993.0,4,1.0,2.0,NridgHt,SLvl,7,Y,Normal,348366.0
HOUSE-016539,4757 Main St #16539,2023-02-07,4205.0,1972.0,4,3.0,4.0,NridgHt,2.5Unf,7,Y,Normal,337271.0
HOUSE-006826,3646 Main St #6826,2023-11-28,4338.0,1979.0,6,2.0,1.0,Sawyer,1Story,8,Y,Normal,284018.0
HOUSE-002516,9512 Main St #2516,2022-04-24,3661.0,1960.0,3,1.5,3.0,CollegeCr,2.5Unf,9,Y,Abnormal,320649.0
HOUSE-016537,8844 Main St #16537,2020-09-18,5659.0,1915.0,4,2.5,2.0,CollegeCr,SLvl,6,Y,Normal,241068.0
HOUSE-013820,7022 Main St #13820,2021-08-27,5043.0,1948.0,5,2.0,3.0,OldTown,SLvl,8,Y,Normal,295552.0
HOUSE-005746,503 Main St #5746,2020-05-28,4015.0,2018.0,2,3.5,4.0,Sawyer,1.5Fin,9,Y,Normal,364333.0
HOUSE-012459,9665 Main St #12459,2020-01-08,3850.0,,6,3.5,3.0,CollegeCr,SLvl,6,Y,Normal,310474.0
HOUSE-010425,3877 Main St #10425,2020-03-19,4538.0,1999.0,5,2.5,3.0,Sawyer,SFoyer,3,Y,Normal,255388.0
HOUSE-003522,2292 Main St #3522,2021-11-25,3924.0,2023.0,6,3.0,4.0,OldTown,1Story,5,Y,Normal,304347.0
HOUSE-008122,6444 Main St #8122,2021-04-14,5439.0,1977.0,1,1.5,3.0,CollegeCr,2.5Unf,4,Y,Normal,180630.0
HOUSE-011545,6706 Main St #11545,2021-11-07,6089.0,2007.0,6,,,Sawyer,2.5Unf,1,Y,Family,179372.0
HOUSE-017335,8493 Main St #17335,2020-05-20,3377.0,1982.0,6,2.0,0.0,Somerst,2Story,7,Y,Normal,353760.0
HOUSE-006237,1753 Main St #6237,2022-03-26,5157.0,1961.0,4,3.5,1.0,Somerst,SFoyer,6,Y,Normal,317276.0
HOUSE-000218,8754 Main St #218,2020-10-11,8478.0,1906.0,5,3.5,2.0,NWAmes,2.5Unf,5,Y,Partial,189133.0
HOUSE-007662,7154 Main St #7662,2020-09-22,2520.0,,5,1.0,,NWAmes,2.5Unf,1,Y,Normal,204638.0
HOUSE-016502,4755 Main St #16502,2020-07-25,5146.0,2016.0,1,2.0,1.0,Sawyer,2Story,3,Y,Partial,203676.0
HOUSE-007375,1256 Main St #7375,2024-09-25,2221.0,1924.0,5,2.0,2.0,CollegeCr,SFoyer,1,Y,Partial,163206.0
HOUSE-010495,1870 Main St #10495,2020-07-28,6039.0,1952.0,2,3.0,2.0,OldTown,SFoyer,7,Y,Normal,235511.0
HOUSE-005711,6246 Main St #5711,2021-07-24,2567.0,1938.0,3,2.5,0.0,Sawyer,1.5Fin,4,Y,Normal,161510.0
HOUSE-008623,9895 Main St #8623,2020-11-16,5027.0,1969.0,4,1.5,3.0,NridgHt,1Story,4,Y,Normal,258128.0
HOUSE-017124,5883 Main St #17124,2021-07-16,4081.0,2012.0,3,1.0,1.0,Edwards,1.5Fin,6,Y,Normal,259854.0
HOUSE-001493,2883 Main St #1493,2021-10-29,2947.0,1953.0,6,2.0,4.0,Somerst,SLvl,3,Y,Normal,249062.0
HOUSE-016167,4344 Main St #16167,2022-10-02,4233.0,1900.0,1,1.0,4.0,NridgHt,1Story,3,Y,Normal,167442.0
HOUSE-010330,4463 Main St #10330,2021-09-24,3207.0,1957.0,1,1.5,4.0,Somerst,2.5Unf,7,Y,Normal,262558.0
HOUSE-012952,5212 Main St #12952,2024-12-02,5234.0,,4,4.0,4.0,NWAmes,1Story,9,Y,Normal,281385.0
HOUSE-005857,9857 Main St #5857,2020-04-10,3286.0,1947.0,4,4.0,3.0,Somerst,2.5Unf,7,Y,Normal,340388.0
HOUSE-004527,8815 Main St #4527,2022-04-02,2607.0,1909.0,1,4.0,1.0,Gilbert,2Story,5,Y,Normal,181349.0
HOUSE-014770,4716 Main St #14770,2020-04-10,10894.0,1923.0,5,3.5,0.0,Gilbert,1Story,1,Y,Normal,183062.0
HOUSE-001788,1505 Main St #1788,2021-01-25,5481.0,1970.0,6,3.0,2.0,Somerst,2.5Unf,10,Y,Normal,376780.0
HOUSE-019356,8120 Main St #19356,2023-06-30,4614.0,1925.0,5,3.5,3.0,CollegeCr,2Story,1,Y,Normal,150774.0
HOUSE-013524,7297 Main St #13524,2024-12-30,3724.0,,2,1.0,2.0,CollegeCr,SFoyer,7,Y,Abnormal,253700.0
HOUSE-001427,2768 Main St #1427,2022-10-30,8407.0,1900.0,5,3.0,0.0,Sawyer,2Story,8,Y,Normal,240754.0
HOUSE-016257,8643 Main St #16257,2024-02-14,3749.0,1966.0,3,4.0,1.0,Sawyer,SFoyer,6,Y,Normal,211572.0
HOUSE-019911,134 Main St #19911,2020-03-01,5004.0,1990.0,1,2.5,2.0,Gilbert,SFoyer,6,Y,Normal,248708.0
HOUSE-017866,9579 Main St #17866,2024-09-04,4441.0,1955.0,6,2.5,4.0,Sawyer,2.5Unf,6,Y,Normal,209368.0
HOUSE-016696,9430 Main St #16696,2020-11-08,5761.0,1995.0,1,3.5,0.0,Gilbert,SLvl,10,Y,Family,309330.0
HOUSE-008142,9257 Main St #8142,2020-04-06,4895.0,1986.0,5,1.0,1.0,OldTown,1.5Fin,4,Y,Normal,412257.0
HOUSE-011605,6084 Main St #11605,2023-10-21,5424.0,1903.0,6,1.5,3.0,Edwards,1.5Fin,5,Y,Family,169080.0
HOUSE-001456,4470 Main St #1456,2022-10-14,1916.0,2005.0,2,3.5,3.0,NWAmes,1.5Fin,6,Y,Abnormal,248789.0
HOUSE-006916,4215 Main St #6916,2022-05-21,9081.0,1921.0,3,1.5,1.0,NridgHt,2Story,7,Y,Normal,308563.0
HOUSE-007934,7876 Main St #7934,2023-11-16,5575.0,1915.0,3,3.5,1.0,OldTown,SLvl,3,Y,Partial,187614.0
HOUSE-017533,9045 Main St #17533,2021-02-26,5743.0,1944.0,1,4.0,2.0,CollegeCr,1Story,8,Y,Normal,277001.0
HOUSE-011498,5462 Main St #11498,2023-09-12,4594.0,2002.0,6,1.5,4.0,CollegeCr,2.5Unf,3,Y,Normal,160571.0
HOUSE-018553,380 Main St #18553,2023-11-18,3248.0,1937.0,4,2.0,0.0,Sawyer,1.5Fin,2,N,Normal,133145.0
HOUSE-000034,9972 Main St #34,2023-07-14,5347.0,1979.0,5,,1.0,Sawyer,1Story,1,Y,Normal,194822.0
HOUSE-003171,6911 Main St #3171,2022-07-30,6318.0,2014.0,3,2.5,2.0,Gilbert,SFoyer,3,Y,Normal,280739.0
HOUSE-014514,6103 Main St #14514,2021-04-01,6354.0,1985.0,1,3.0,1.0,Sawyer,SFoyer,5,Y,Normal,225170.0
HOUSE-001350,9646 Main St #1350,2022-04-01,2923.0,1942.0,6,3.0,1.0,Gilbert,1Story,6,Y,Normal,292643.0
HOUSE-013202,4261 Main St #13202,2020-02-13,9962.0,2011.0,2,2.5,1.0,OldTown,2.5Unf,10,Y,Abnormal,352717.0
HOUSE-011401,7644 Main St #11401,2024-01-06,6286.0,2013.0,5,4.0,1.0,CollegeCr,1Story,2,Y,Normal,277233.0
HOUSE-016231,9541 Main St #16231,2021-08-13,6831.0,1953.0,5,1.5,3.0,Gilbert,1.5Fin,6,Y,Normal,290500.0
HOUSE-006438,9085 Main St #6438,2021-10-08,2991.0,1988.0,6,3.0,0.0,CollegeCr,1Story,7,N,Abnormal,317530.0
HOUSE-002703,4743 Main St #2703,2024-01-12,3778.0,1943.0,6,3.5,3.0,NWAmes,2.5Unf,5,N,Normal,212355.0
HOUSE-004387,2639 Main St #4387,2022-03-10,2801.0,1966.0,5,1.5,2.0,NridgHt,1.5Fin,6,Y,Normal,287490.0
HOUSE-006544,6956 Main St #6544,2021-12-06,4273.0,1943.0,5,3.5,1.0,CollegeCr,2.5Unf,9,Y,Normal,298451.0
HOUSE-013439,5615 Main St #13439,2020-01-12,4708.0,1965.0,1,,2.0,NWAmes,1.5Fin,6,Y,Normal,215369.0
HOUSE-001087,2768 Main St #1087,2024-02-02,5037.0,1933.0,2,2.5,1.0,CollegeCr,2Story,1,Y,Normal,131602.0
HOUSE-017895,9923 Main St #17895,2024-08-16,1908.0,1964.0,1,2.0,2.0,NWAmes,SLvl,7,Y,Abnormal,228217.0
HOUSE-000119,5767 Main St #119,2021-02-02,5006.0,,2,2.0,1.0,NWAmes,1Story,10,Y,Normal,368032.0
HOUSE-001402,3306 Main St #1402,2024-01-10,4174.0,1943.0,5,1.0,,Edwards,SLvl,6,Y,Normal,191532.0
HOUSE-010764,5055 Main St #10764,2021-10-19,3448.0,2010.0,3,2.5,,Sawyer,SFoyer,2,Y,Normal,205921.0
HOUSE-016358,3828 Main St #16358,2021-11-09,6836.0,2017.0,6,2.5,2.0,Somerst,2.5Unf,10,Y,Normal,447212.0
HOUSE-005908,1092 Main St #5908,2020-06-08,5769.0,1928.0,6,1.0,2.0,Somerst,SLvl,5,Y,Partial,224070.0
HOUSE-009201,2954 Main St #9201,2020-02-07,5121.0,,4,2.0,,NridgHt,SFoyer,7,Y,Normal,294755.0
HOUSE-005992,7355 Main St #5992,2020-12-15,6376.0,1926.0,2,2.0,,NridgHt,SFoyer,3,N,Normal,200645.0
HOUSE-009881,9431 Main St #9881,2020-03-01,4208.0,1961.0,1,2.0,0.0,Gilbert,1.5Fin,7,Y,Normal,235786.0
HOUSE-012387,134 Main St #12387,2021-04-30,4397.0,1961.0,2,,2.0,Somerst,1Story,1,Y,Normal,155988.0
HOUSE-014378,2860 Main St #14378,2022-01-19,2352.0,1943.0,4,1.0,0.0,OldTown,1Story,6,Y,Normal,263726.0
HOUSE-003479,6551 Main St #3479,2021-12-13,2442.0,1955.0,2,2.5,2.0,Gilbert,1.5Fin,2,Y,Normal,152346.0
HOUSE-002250,6718 Main St #2250,2023-09-25,4246.0,2006.0,4,,3.0,NridgHt,1Story,5,N,Normal,355435.0
HOUSE-010279,9333 Main St #10279,2021-02-20,4099.0,,5,4.0,,CollegeCr,2.5Unf,5,Y,Normal,227459.0
HOUSE-018852,3679 Main St #18852,2024-07-17,2169.0,1973.0,4,4.0,,Edwards,2Story,7,Y,Abnormal,293059.0
HOUSE-008757,8606 Main St #8757,2024-12-15,3821.0,1985.0,3,1.5,0.0,OldTown,SFoyer,3,Y,Abnormal,202305.0
HOUSE-009159,8471 Main St #9159,2024-08-22,3811.0,2014.0,2,3.5,4.0,Somerst,SLvl,2,Y,Normal,318539.0
HOUSE-019860,3074 Main St #19860,2022-11-13,6804.0,1902.0,4,2.0,0.0,NWAmes,2.5Unf,4,Y,Normal,154716.0
HOUSE-017831,8481 Main St #17831,2022-04-09,7769.0,2009.0,2,2.5,,NWAmes,2Story,1,Y,Normal,188578.0
HOUSE-010454,8009 Main St #10454,2024-05-17,7282.0,1958.0,4,1.0,1.0,OldTown,2.5Unf,5,Y,Normal,250795.0
HOUSE-015792,7178 Main St #15792,2024-06-06,4726.0,1910.0,1,1.0,3.0,Sawyer,SFoyer,10,Y,Normal,219427.0
HOUSE-015579,3177 Main St #15579,2021-07-26,5548.0,2010.0,1,2.5,2.0,CollegeCr,SFoyer,2,Y,Normal,213592.0
HOUSE-002171,822 Main St #2171,2024-12-20,9672.0,2003.0,3,1.0,4.0,NWAmes,1Story,2,Y,Abnormal,221582.0
HOUSE-002480,293 Main St #2480,2024-04-23,4360.0,1938.0,6,1.0,4.0,OldTown,1.5Fin,7,Y,Normal,270452.0
HOUSE-010676,7078 Main St #10676,2020-11-03,6064.0,2001.0,3,2.5,4.0,Gilbert,1Story,10,Y,Partial,362712.0
HOUSE-000738,9127 Main St #738,2022-03-03,3362.0,1927.0,6,3.5,3.0,NWAmes,2Story,7,Y,Normal,259851.0
HOUSE-011006,5885 Main St #11006,2021-01-04,5923.0,1940.0,4,3.5,,Gilbert,2Story,3,Y,Normal,219762.0
HOUSE-006760,4698 Main St #6760,2021-04-29,5541.0,,3,1.0,2.0,NWAmes,SLvl,2,Y,Normal,166362.0
HOUSE-012490,7494 Main St #12490,2020-06-15,8052.0,1921.0,1,2.5,3.0,Gilbert,1.5Fin,4,Y,Normal,200920.0
HOUSE-006778,3818 Main St #6778,2022-04-17,2078.0,2011.0,2,1.5,0.0,CollegeCr,SLvl,9,Y,Normal,313012.0
HOUSE-007839,8 Main St #7839,2021-06-16,4480.0,1988.0,6,3.0,4.0,Sawyer,SLvl,7,Y,Abnormal,308502.0
HOUSE-014020,170 Main St #14020,2024-06-13,4275.0,1904.0,6,1.5,0.0,Edwards,1Story,4,Y,Normal,228420.0
HOUSE-018646,8350 Main St #18646,2020-09-24,6659.0,2021.0,3,4.0,2.0,CollegeCr,1Story,4,Y,Normal,239282.0
HOUSE-017799,1796 Main St #17799,2023-01-01,4701.0,2008.0,1,3.0,0.0,Edwards,1Story,9,Y,Normal,314956.0
HOUSE-008486,1314 Main St #8486,2024-09-07,2489.0,2010.0,4,4.0,1.0,NWAmes,2.5Unf,4,Y,Normal,251377.0
HOUSE-019171,9818 Main St #19171,2021-10-26,5254.0,1936.0,1,2.5,3.0,Gilbert,1.5Fin,3,Y,Normal,202457.0
HOUSE-000451,1003 Main St #451,2020-12-01,8776.0,1932.0,5,3.0,4.0,OldTown,1Story,1,Y,Normal,196927.0
HOUSE-011571,6232 Main St #11571,2022-07-03,5696.0,2021.0,4,1.0,4.0,Somerst,2Story,1,Y,Normal,263843.0
HOUSE-019178,4927 Main St #19178,2021-04-22,5844.0,1967.0,3,3.0,2.0,Sawyer,1Story,4,Y,Normal,221300.0
HOUSE-002751,9987 Main St #2751,2021-09-09,8186.0,1995.0,5,,3.0,Somerst,1Story,2,Y,Normal,321181.0
HOUSE-016301,2841 Main St #16301,2020-06-01,2210.0,1933.0,4,2.0,2.0,Somerst,SFoyer,4,Y,Normal,247911.0
HOUSE-008886,4413 Main St #8886,2022-10-24,2945.0,1995.0,6,3.5,3.0,Somerst,1Story,4,Y,Partial,344251.0
HOUSE-016485,5318 Main St #16485,2020-08-15,4314.0,1973.0,5,3.5,2.0,CollegeCr,1.5Fin,1,Y,Normal,184777.0
HOUSE-004999,8463 Main St #4999,2023-07-10,9804.0,1904.0,5,2.5,0.0,Edwards,2Story,10,Y,Normal,327862.0
HOUSE-017843,9253 Main St #17843,2021-04-06,6178.0,1992.0,2,3.0,4.0,NWAmes,1.5Fin,3,Y,Normal,227086.0
HOUSE-003844,5139 Main St #3844,2021-06-29,5792.0,1936.0,5,1.0,1.0,OldTown,2.5Unf,9,Y,Normal,285878.0
HOUSE-010958,1431 Main St #10958,2020-11-25,3537.0,1992.0,5,1.5,4.0,Sawyer,SFoyer,7,Y,Normal,278759.0
HOUSE-017356,7430 Main St #17356,2021-05-20,5393.0,1962.0,5,1.5,3.0,Edwards,SLvl,6,Y,Normal,327333.0
HOUSE-010389,9680 Main St #10389,2021-05-29,3170.0,1973.0,4,2.5,,Sawyer,2Story,4,Y,Normal,186027.0
HOUSE-015548,7495 Main St #15548,2020-03-24,8060.0,2001.0,6,4.0,2.0,NWAmes,SLvl,7,Y,Normal,368972.0
HOUSE-006062,2458 Main St #6062,2020-07-30,4285.0,1920.0,2,4.0,0.0,Gilbert,SFoyer,10,Y,Normal,315837.0
HOUSE-001768,504 Main St #1768,2024-06-30,6011.0,1934.0,5,4.0,1.0,CollegeCr,1.5Fin,1,Y,Normal,133203.0
HOUSE-003277,7348 Main St #3277,2020-03-14,6949.0,1909.0,2,3.0,2.0,NWAmes,1.5Fin,2,Y,Normal,130098.0
HOUSE-018117,9806 Main St #18117,2024-12-22,3929.0,1906.0,4,2.0,0.0,Somerst,2.5Unf,6,Y,Abnormal,313320.0
HOUSE-014796,1479 Main St #14796,2022-06-01,4541.0,1962.0,2,,1.0,Sawyer,SLvl,2,Y,Normal,188068.0
HOUSE-001994,2360 Main St #1994,2022-08-04,8226.0,1938.0,1,,4.0,CollegeCr,2Story,3,Y,Normal,194410.0
HOUSE-018274,4715 Main St #18274,2023-03-03,6504.0,1990.0,3,1.5,0.0,Sawyer,2.5Unf,4,Y,Normal,417369.0
HOUSE-001201,6624 Main St #1201,2020-07-19,6910.0,1967.0,3,4.0,3.0,Gilbert,1.5Fin,9,Y,Normal,325657.0
HOUSE-010155,1781 Main St #10155,2020-12-17,2902.0,,3,3.5,4.0,Edwards,2.5Unf,10,Y,Normal,406293.0
HOUSE-011786,9991 Main St #11786,2020-12-19,4069.0,1990.0,1,3.5,2.0,NridgHt,2.5Unf,3,Y,Partial,272379.0
HOUSE-006557,9793 Main St #6557,2021-10-15,7309.0,2004.0,5,3.0,3.0,Edwards,2.5Unf,9,Y,Normal,344932.0
HOUSE-019627,5996 Main St #19627,2022-10-28,2107.0,1950.0,2,3.5,1.0,CollegeCr,1Story,6,Y,Normal,203554.0
HOUSE-005031,8679 Main St #5031,2021-03-16,5860.0,1963.0,4,1.5,0.0,NridgHt,1Story,9,Y,Normal,351576.0
HOUSE-018302,9451 Main St #18302,2024-01-28,9286.0,1921.0,2,4.0,3.0,CollegeCr,SFoyer,7,Y,Normal,275115.0
HOUSE-019067,2905 Main St #19067,2021-12-19,3663.0,1916.0,2,3.0,4.0,Gilbert,1Story,2,Y,Normal,163893.0
HOUSE-009801,6482 Main St #9801,2023-02-03,5828.0,1929.0,5,4.0,2.0,Gilbert,2.5Unf,1,Y,Normal,169209.0
HOUSE-005846,8131 Main St #5846,2023-05-31,7052.0,1917.0,5,2.0,0.0,NWAmes,2Story,1,Y,Normal,174340.0
HOUSE-007841,9402 Main St #7841,2020-08-23,4815.0,1939.0,6,2.0,1.0,CollegeCr,SLvl,8,Y,Normal,228484.0
HOUSE-015273,9264 Main St #15273,2021-01-14,3945.0,1954.0,1,1.0,0.0,CollegeCr,1Story,2,Y,Normal,138100.0
HOUSE-011947,62 Main St #11947,2022-05-10,8290.0,1943.0,6,,4.0,Gilbert,1.5Fin,6,Y,Family,242064.0
HOUSE-000474,2503 Main St #474,2021-09-24,6913.0,1931.0,2,1.5,2.0,NridgHt,1Story,3,N,Normal,190065.0
HOUSE-008373,8604 Main St #8373,2020-03-10,7974.0,1983.0,5,,0.0,CollegeCr,1Story,7,Y,Normal,343907.0
HOUSE-009800,4160 Main St #9800,2024-03-03,4481.0,1976.0,1,4.0,0.0,NridgHt,1Story,5,Y,Normal,287358.0
HOUSE-000928,8325 Main St #928,2023-04-20,3798.0,1983.0,3,2.5,2.0,Somerst,SLvl,1,Y,Family,207794.0
HOUSE-000447,4831 Main St #447,2020-12-26,3297.0,2008.0,1,4.0,0.0,Gilbert,1Story,9,Y,Normal,303066.0
HOUSE-009876,7364 Main St #9876,2021-08-17,3995.0,1912.0,3,4.0,0.0,Sawyer,2Story,10,Y,Family,310519.0
HOUSE-007808,2141 Main St #7808,2021-07-01,6525.0,,5,1.0,4.0,CollegeCr,SLvl,10,Y,Normal,305196.0
HOUSE-018885,4055 Main St #18885,2020-02-15,,1979.0,4,2.0,4.0,Somerst,2.5Unf,6,Y,Normal,333144.0
HOUSE-012908,2923 Main St #12908,2020-11-19,6404.0,1903.0,4,3.0,1.0,Gilbert,2.5Unf,4,Y,Normal,169531.0
HOUSE-007212,6841 Main St #7212,2024-01-15,5866.0,1946.0,4,2.5,3.0,Sawyer,SFoyer,8,Y,Normal,291090.0
HOUSE-016309,4816 Main St #16309,2023-10-18,2874.0,1951.0,3,3.5,3.0,Edwards,2Story,5,Y,Normal,213112.0
HOUSE-014302,970 Main St #14302,2020-11-25,8535.0,1998.0,6,4.0,3.0,OldTown,1.5Fin,9,Y,Normal,394988.0
