employee_id,employee_code,hire_date,years_experience,age,hours_per_week,num_certifications,job_title,department,education_level,company_size,work_mode,annual_salary
EMP-007095,CODE-76533,2021-11-30,3.5,31,51.2,1.0,DevOps Engineer,Ventas,Bachiller,Grande,Remoto,59139.93
EMP-002937,CODE-54295,2021-02-12,6.6,26,,1.0,HR Specialist,Finanzas,Bachiller,Startup,Remoto,27583.16
EMP-001650,CODE-81897,2019-05-13,6.6,32,40.7,3.0,Sales Executive,Operaciones,Bachiller,Grande,Hibrido,40291.72
EMP-003726,CODE-71122,2023-02-21,0.4,21,43.9,2.0,Software Engineer,Recursos Humanos,Bachiller,Corporativa,Presencial,48658.66
EMP-013637,CODE-87299,2007-10-16,11.2,37,41.1,2.0,Data Analyst,Finanzas,Tecnico,Corporativa,Remoto,47041.71
EMP-017418,CODE-68540,2023-10-18,6.1,28,45.6,1.0,Product Manager,Marketing,Doctorado,Grande,Remoto,77902.89
EMP-013171,CODE-50993,2025-03-24,2.5,29,29.1,1.0,Software Engineer,Recursos Humanos,Doctorado,Startup,Presencial,56297.54
EMP-013816,CODE-11887,2019-06-19,3.0,24,44.4,0.0,Sales Executive,Operaciones,Bachiller,Pequeña,Hibrido,22977.73
EMP-010473,CODE-94591,2006-12-06,5.0,33,53.1,1.0,Data Analyst,Finanzas,Bachiller,Startup,Hibrido,28850.11
EMP-009323,CODE-22735,2008-06-26,2.8,33,36.0,0.0,Data Scientist,Datos y Analitica,Bachiller,Grande,Hibrido,46030.12
EMP-010586,CODE-36028,2024-10-07,3.3,25,40.3,0.0,HR Specialist,Ingenieria,Tecnico,Startup,Hibrido,9000.0
EMP-003206,CODE-32218,2023-05-07,4.9,26,46.2,5.0,Data Scientist,Finanzas,Doctorado,Mediana,Hibrido,81939.07
EMP-018407,CODE-28049,2018-02-25,8.0,34,48.9,0.0,Product Manager,Operaciones,Bachiller,Mediana,Remoto,61971.66
EMP-004385,CODE-23417,2014-02-20,2.7,27,37.4,2.0,Marketing Analyst,Operaciones,Tecnico,Pequeña,Presencial,14177.85
EMP-013903,CODE-83135,2022-01-30,5.1,27,44.1,1.0,Data Analyst,Finanzas,Bachiller,Startup,Presencial,29900.24
EMP-019431,CODE-94905,2009-08-25,20.4,44,33.4,1.0,DevOps Engineer,Ingenieria,Bachiller,Corporativa,Remoto,93766.21
EMP-004281,CODE-99765,2024-09-02,9.8,37,30.5,2.0,Marketing Analyst,Recursos Humanos,Tecnico,Mediana,Hibrido,34055.93
EMP-008408,CODE-30089,2017-07-26,3.0,24,44.3,2.0,Product Manager,Datos y Analitica,Bachiller,Grande,Remoto,53777.22
EMP-007096,CODE-17627,2012-05-26,1.2,24,48.9,0.0,HR Specialist,Finanzas,Bachiller,Startup,Presencial,17016.28
EMP-003924,CODE-23810,2020-09-16,2.1,27,39.9,1.0,Software Engineer,Datos y Analitica,Maestria,Mediana,Remoto,50672.95
EMP-019340,CODE-62453,2007-01-20,3.0,25,40.5,,Data Scientist,Finanzas,Bachiller,Startup,Presencial,40933.56
EMP-013154,CODE-77615,2015-01-22,6.2,31,46.2,3.0,HR Specialist,Ventas,Maestria,Startup,Hibrido,36496.28
EMP-005114,CODE-16878,2011-04-09,1.6,26,52.0,1.0,Marketing Analyst,Operaciones,Tecnico,Mediana,Presencial,9430.81
EMP-014270,CODE-46256,2015-03-20,8.8,39,38.7,3.0,DevOps Engineer,Marketing,Maestria,Corporativa,Presencial,81972.79
EMP-003853,CODE-66075,2018-11-28,0.5,22,46.2,3.0,Data Scientist,Ingenieria,Bachiller,Corporativa,Hibrido,56870.08
EMP-005208,CODE-90830,2017-08-29,1.0,28,33.6,2.0,Marketing Analyst,Ventas,Bachiller,Pequeña,Presencial,28312.34
EMP-017643,CODE-70523,2010-07-17,5.0,26,42.0,1.0,Product Manager,Datos y Analitica,Bachiller,Startup,Presencial,51831.97
EMP-011584,CODE-72934,2013-03-14,6.5,27,43.4,3.0,Data Analyst,Operaciones,Maestria,Grande,Hibrido,56113.42
EMP-017153,CODE-64444,2010-04-12,5.2,29,46.0,0.0,Software Engineer,Ventas,Bachiller,Grande,Hibrido,52024.43
EMP-019887,CODE-53718,2015-04-23,,26,,1.0,HR Specialist,Ventas,Bachiller,Grande,Remoto,23380.1
EMP-009326,CODE-54687,2012-09-09,13.2,42,38.5,0.0,Software Engineer,Marketing,Doctorado,Startup,Remoto,84508.08
EMP-019092,CODE-99951,2018-01-04,2.0,27,46.5,,HR Specialist,Finanzas,Tecnico,Grande,Presencial,15318.31
EMP-001135,CODE-43616,2020-01-17,1.6,32,50.8,2.0,Data Scientist,Recursos Humanos,Tecnico,Mediana,Hibrido,39153.98
EMP-001103,CODE-63139,2019-09-11,9.2,47,47.7,0.0,Data Analyst,Datos y Analitica,Doctorado,Grande,Remoto,55457.08
EMP-011996,CODE-91261,2015-11-02,2.4,27,46.0,2.0,DevOps Engineer,Ventas,Bachiller,Mediana,Presencial,44376.74
EMP-007480,CODE-46859,2022-10-14,3.4,29,41.2,1.0,Data Analyst,Operaciones,Maestria,Mediana,Hibrido,41817.08
EMP-005271,CODE-82563,2008-07-08,2.9,39,45.1,1.0,Data Scientist,Finanzas,Maestria,Pequeña,Remoto,56881.63
EMP-003108,CODE-52246,2010-12-29,12.3,37,38.6,3.0,Product Manager,Recursos Humanos,Maestria,Grande,Presencial,85496.6
EMP-006662,CODE-14333,2013-10-08,2.1,22,37.4,1.0,Sales Executive,Operaciones,Bachiller,Pequeña,Hibrido,21875.19
EMP-000845,CODE-50281,2014-02-04,2.8,27,37.7,1.0,Software Engineer,Finanzas,Maestria,Pequeña,Presencial,48898.06
EMP-003481,CODE-57943,2018-11-21,20.1,45,31.7,3.0,Software Engineer,Marketing,Maestria,Mediana,Hibrido,88526.99
EMP-004805,CODE-15388,2006-04-20,7.7,30,37.9,1.0,Sales Executive,Ventas,Bachiller,Mediana,Presencial,30097.01
EMP-010047,CODE-73538,2006-09-10,13.3,39,38.8,1.0,HR Specialist,Marketing,Tecnico,Grande,Presencial,39684.26
EMP-005863,CODE-41592,2012-05-06,12.0,33,41.8,0.0,Software Engineer,Ingenieria,Maestria,Pequeña,Remoto,74843.25
EMP-015988,CODE-99084,2019-01-23,4.2,23,38.5,0.0,Marketing Analyst,Recursos Humanos,Bachiller,Startup,Remoto,20047.12
EMP-011561,CODE-55991,2024-06-07,,34,40.0,0.0,Software Engineer,Ingenieria,Doctorado,Pequeña,Presencial,70342.97
EMP-018743,CODE-80120,2013-03-23,2.2,27,27.5,0.0,Data Analyst,Operaciones,Bachiller,Grande,Hibrido,31533.16
EMP-004087,CODE-77631,2008-08-01,,32,48.8,2.0,Software Engineer,Ingenieria,Tecnico,Corporativa,Presencial,45297.24
EMP-005261,CODE-40000,2007-09-13,,37,45.3,3.0,DevOps Engineer,Ventas,Bachiller,Corporativa,Presencial,77316.24
EMP-002363,CODE-89546,2010-12-13,8.3,25,44.1,2.0,Sales Executive,Recursos Humanos,Tecnico,Startup,Hibrido,24482.65
EMP-018520,CODE-61545,2023-03-08,0.0,33,32.4,0.0,Data Analyst,Datos y Analitica,Maestria,Startup,Hibrido,28613.59
EMP-009204,CODE-20811,2025-02-24,12.2,32,30.0,4.0,Data Analyst,Datos y Analitica,Tecnico,Mediana,Hibrido,40570.08
EMP-014529,CODE-40488,2007-08-22,4.6,40,42.9,1.0,Marketing Analyst,Ingenieria,Maestria,Pequeña,Remoto,39880.29
EMP-011583,CODE-44297,2022-11-17,3.4,27,48.6,2.0,DevOps Engineer,Ventas,Bachiller,Pequeña,Hibrido,43966.27
EMP-005216,CODE-65286,2024-11-06,0.8,33,36.4,2.0,HR Specialist,Finanzas,Tecnico,Corporativa,Hibrido,17533.18
EMP-012237,CODE-69966,2021-09-20,16.3,34,37.8,0.0,Software Engineer,Recursos Humanos,Maestria,Startup,Hibrido,74925.71
EMP-010252,CODE-72760,2006-10-03,3.3,32,41.1,6.0,Product Manager,Operaciones,Tecnico,Startup,Presencial,40030.12
EMP-018999,CODE-80101,2015-08-13,0.7,22,47.5,0.0,Marketing Analyst,Operaciones,Doctorado,Grande,Remoto,47148.29
EMP-005576,CODE-44888,2014-11-03,0.6,23,37.5,1.0,Data Scientist,Marketing,Bachiller,Mediana,Hibrido,43722.98
EMP-000144,CODE-38672,2025-01-03,8.3,31,35.3,2.0,Software Engineer,Operaciones,Bachiller,Corporativa,Hibrido,64522.09
EMP-011190,CODE-70487,2014-03-14,3.1,24,44.7,0.0,Software Engineer,Recursos Humanos,Bachiller,Startup,Presencial,43275.28
EMP-014629,CODE-88206,2010-08-05,11.4,39,47.6,0.0,Product Manager,Finanzas,Bachiller,Pequeña,Hibrido,69317.75
EMP-006236,CODE-49946,2007-01-21,4.4,26,44.0,2.0,Sales Executive,Marketing,Bachiller,Mediana,Hibrido,36302.82
EMP-012742,CODE-63875,2024-04-12,12.3,44,,0.0,Data Analyst,Ventas,Bachiller,Mediana,Hibrido,52210.7
EMP-001222,CODE-20128,2023-05-29,0.5,21,41.4,1.0,Marketing Analyst,Ventas,Tecnico,Corporativa,Hibrido,23387.33
EMP-014177,CODE-47185,2012-12-23,,31,42.7,1.0,Data Scientist,Datos y Analitica,Bachiller,Corporativa,Hibrido,70939.35
EMP-011609,CODE-93580,2014-09-14,5.8,29,52.6,0.0,Product Manager,Ingenieria,Tecnico,Startup,Remoto,43318.46
EMP-014180,CODE-91405,2011-11-09,3.0,26,,1.0,DevOps Engineer,Operaciones,Bachiller,Pequeña,Hibrido,45537.7
EMP-010122,CODE-95410,2017-08-20,0.9,27,57.9,1.0,Data Scientist,Operaciones,Bachiller,Pequeña,Presencial,49639.07
EMP-011711,CODE-42945,2022-10-02,5.6,30,39.1,1.0,Data Scientist,Recursos Humanos,Bachiller,Pequeña,Remoto,54406.27
EMP-011689,CODE-48468,2018-05-05,1.5,30,38.5,2.0,Marketing Analyst,Recursos Humanos,Bachiller,Mediana,Presencial,26961.43
EMP-010085,CODE-98490,2020-04-05,7.3,37,35.2,2.0,Marketing Analyst,Ventas,Maestria,Pequeña,Hibrido,39730.98
EMP-012147,CODE-61214,2019-04-20,0.1,21,49.9,1.0,DevOps Engineer,Recursos Humanos,Maestria,Corporativa,Presencial,63241.09
EMP-004381,CODE-75328,2018-07-03,4.8,25,40.5,3.0,Data Analyst,Finanzas,Maestria,Mediana,Presencial,41635.33
EMP-006337,CODE-96810,2023-11-01,12.8,35,38.2,3.0,Data Scientist,Operaciones,Tecnico,Pequeña,Hibrido,65096.01
EMP-011764,CODE-61571,2008-05-30,9.8,31,40.9,2.0,Product Manager,Ingenieria,Bachiller,Corporativa,Hibrido,72363.52
EMP-010175,CODE-55156,2020-08-27,0.4,27,36.0,3.0,Sales Executive,Ingenieria,Bachiller,Mediana,Presencial,23992.02
EMP-019258,CODE-45961,2016-11-02,8.3,32,42.6,2.0,HR Specialist,Recursos Humanos,Bachiller,Startup,Remoto,30023.29
EMP-002170,CODE-20853,2014-03-15,4.7,28,38.4,2.0,Data Analyst,Finanzas,Bachiller,Corporativa,Remoto,42684.09
EMP-010719,CODE-36936,2012-12-06,2.8,28,38.3,3.0,Marketing Analyst,Ingenieria,Maestria,Startup,Remoto,36278.54
EMP-000523,CODE-49375,2019-02-17,8.7,28,46.0,1.0,Marketing Analyst,Marketing,Maestria,Mediana,Remoto,58378.38
EMP-015941,CODE-94243,2005-08-26,1.5,24,40.9,1.0,Data Analyst,Finanzas,Maestria,Grande,Remoto,36972.72
EMP-013933,CODE-97578,2008-02-19,3.9,25,45.2,1.0,Product Manager,Recursos Humanos,Bachiller,Mediana,Hibrido,58234.11
EMP-011085,CODE-66082,2016-07-10,6.9,30,39.7,1.0,Marketing Analyst,Marketing,Bachiller,Mediana,Hibrido,38566.12
EMP-009176,CODE-14911,2015-11-08,9.6,39,37.5,0.0,Data Analyst,Marketing,Maestria,Corporativa,Hibrido,57486.54
EMP-012095,CODE-45022,2016-09-17,0.0,26,39.4,2.0,DevOps Engineer,Recursos Humanos,Tecnico,Pequeña,Presencial,32186.69
EMP-007957,CODE-94399,2010-10-13,2.3,29,38.5,2.0,Sales Executive,Finanzas,Tecnico,Pequeña,Remoto,17859.82
EMP-003910,CODE-87103,2008-01-18,4.0,24,43.6,0.0,DevOps Engineer,Marketing,Maestria,Grande,Remoto,69395.09
EMP-003802,CODE-73398,2024-04-26,8.5,22,40.7,2.0,Product Manager,Operaciones,Bachiller,Pequeña,Hibrido,60223.54
EMP-009790,CODE-16332,2020-11-17,3.4,30,40.9,1.0,Software Engineer,Marketing,Bachiller,Mediana,Hibrido,42174.31
EMP-011872,CODE-84264,2010-05-12,14.5,38,41.8,,Data Analyst,Finanzas,Bachiller,Startup,Presencial,49355.82
EMP-003190,CODE-70083,2024-12-04,11.3,41,41.0,0.0,Product Manager,Recursos Humanos,Tecnico,Startup,Presencial,54191.41
EMP-007369,CODE-31748,2018-09-18,10.6,39,42.6,2.0,Software Engineer,Finanzas,Maestria,Grande,Hibrido,75465.32
EMP-010789,CODE-32935,2019-07-26,0.2,21,39.9,1.0,HR Specialist,Marketing,Bachiller,Mediana,Remoto,11392.66
EMP-014164,CODE-14819,2023-09-03,5.5,38,42.2,1.0,Product Manager,Ingenieria,Tecnico,Mediana,Hibrido,49389.9
EMP-019689,CODE-74053,2011-10-25,5.3,29,38.0,0.0,Data Scientist,Recursos Humanos,Bachiller,Startup,Hibrido,53575.46
EMP-018950,CODE-70191,2022-10-29,1.3,22,35.1,1.0,DevOps Engineer,Ventas,Bachiller,Corporativa,Remoto,51088.11
EMP-015865,CODE-91869,2018-03-28,1.4,28,42.3,2.0,Sales Executive,Ingenieria,Bachiller,Corporativa,Hibrido,35961.39
EMP-002444,CODE-97388,2006-06-12,0.4,28,36.7,0.0,Marketing Analyst,Operaciones,Tecnico,Startup,Presencial,9000.0
EMP-014073,CODE-52078,2010-09-01,8.4,33,41.0,0.0,Data Scientist,Operaciones,Maestria,Mediana,Remoto,69228.29
EMP-017516,CODE-71359,2007-10-08,3.3,27,48.6,1.0,Marketing Analyst,Recursos Humanos,Doctorado,Mediana,Hibrido,48326.92
EMP-005824,CODE-62002,2016-01-18,0.8,24,39.7,0.0,Data Analyst,Ventas,Tecnico,Mediana,Presencial,14637.99
EMP-000313,CODE-39498,2006-12-24,13.9,36,42.4,2.0,Product Manager,Operaciones,Doctorado,Mediana,Hibrido,93145.28
EMP-018272,CODE-80768,2005-07-01,1.5,28,41.6,1.0,Data Scientist,Operaciones,Maestria,Grande,Remoto,56633.2
EMP-000836,CODE-34500,2024-07-28,10.9,42,45.9,1.0,Software Engineer,Ingenieria,Tecnico,Grande,Hibrido,52081.91
EMP-002040,CODE-36425,2019-12-08,14.4,40,41.9,2.0,DevOps Engineer,Marketing,Maestria,Grande,Presencial,89354.42
EMP-012019,CODE-76073,2021-09-05,9.7,35,53.6,1.0,Marketing Analyst,Marketing,Doctorado,Startup,Remoto,56502.18
EMP-008554,CODE-79380,2006-03-20,3.5,28,37.9,2.0,Product Manager,Datos y Analitica,Tecnico,Grande,Hibrido,59513.5
EMP-016478,CODE-99631,2009-07-01,2.7,32,37.9,0.0,HR Specialist,Finanzas,Maestria,Mediana,Hibrido,30769.79
EMP-010596,CODE-84751,2014-02-25,3.3,31,39.1,0.0,DevOps Engineer,Finanzas,Bachiller,Startup,Hibrido,46710.73
EMP-018213,CODE-83589,2009-09-24,6.0,28,41.5,3.0,Data Scientist,Ingenieria,Bachiller,Mediana,Hibrido,62403.11
EMP-007820,CODE-91961,2019-03-15,4.3,26,34.8,1.0,DevOps Engineer,Marketing,Bachiller,Mediana,Hibrido,53765.3
EMP-006505,CODE-27488,2013-07-17,10.0,36,27.3,3.0,HR Specialist,Ventas,Bachiller,Corporativa,Remoto,44177.18
EMP-004314,CODE-94663,2013-08-02,8.1,31,38.8,2.0,Sales Executive,Ingenieria,Bachiller,Pequeña,Hibrido,41022.2
EMP-018343,CODE-16930,2014-03-12,1.6,26,51.3,2.0,Data Scientist,Finanzas,Tecnico,Mediana,Hibrido,37673.65
EMP-006174,CODE-84174,2024-03-04,1.8,21,43.7,0.0,Product Manager,Marketing,Maestria,Grande,Hibrido,62043.91
EMP-016569,CODE-70983,2023-08-20,9.8,41,40.9,2.0,HR Specialist,Datos y Analitica,Bachiller,Grande,Remoto,43445.58
EMP-006541,CODE-34524,2011-09-02,16.3,41,47.1,1.0,DevOps Engineer,Marketing,Bachiller,Corporativa,Hibrido,82709.63
EMP-008325,CODE-66871,2021-07-16,5.3,29,32.7,1.0,Marketing Analyst,Operaciones,Doctorado,Mediana,Remoto,47518.48
EMP-006685,CODE-61976,2011-09-12,1.7,25,37.0,2.0,Marketing Analyst,Datos y Analitica,Doctorado,Grande,Hibrido,45699.7
EMP-011360,CODE-21563,2006-04-01,19.6,40,60.0,0.0,Sales Executive,Ingenieria,Bachiller,Corporativa,Presencial,82814.06
EMP-018799,CODE-84441,2020-07-20,1.3,33,38.6,2.0,Marketing Analyst,Operaciones,Maestria,Corporativa,Remoto,39111.85
EMP-006245,CODE-94076,2022-09-02,4.5,23,47.6,1.0,Data Scientist,Datos y Analitica,Maestria,Startup,Remoto,55037.86
EMP-005386,CODE-71552,2007-05-15,1.8,32,37.9,0.0,Marketing Analyst,Recursos Humanos,Maestria,Startup,Hibrido,27319.53
EMP-016738,CODE-35239,2014-04-17,2.7,28,48.5,4.0,HR Specialist,Recursos Humanos,Bachiller,Startup,Remoto,19499.84
EMP-011757,CODE-51974,2019-09-28,10.5,37,40.5,0.0,Software Engineer,Marketing,Maestria,Grande,Remoto,73605.12
EMP-000065,CODE-75434,2020-10-12,0.0,25,50.7,2.0,Software Engineer,Finanzas,Bachiller,Startup,Hibrido,41911.69
EMP-009328,CODE-95162,2007-06-24,5.0,30,56.5,2.0,Data Scientist,Recursos Humanos,Maestria,Corporativa,Hibrido,76657.23
EMP-000919,CODE-46087,2008-10-17,4.2,29,45.1,0.0,Sales Executive,Datos y Analitica,Maestria,Grande,Hibrido,40202.44
EMP-005831,CODE-73196,2014-09-10,7.3,27,42.4,,Data Analyst,Operaciones,Bachiller,Mediana,Remoto,39440.2
EMP-017027,CODE-89160,2023-01-25,9.4,37,38.6,0.0,Marketing Analyst,Ventas,Maestria,Mediana,Remoto,48515.95
EMP-016336,CODE-38804,2019-10-18,4.5,25,46.1,2.0,Product Manager,Finanzas,Maestria,Grande,Remoto,73921.05
EMP-003902,CODE-61339,2015-09-23,2.9,32,45.5,3.0,DevOps Engineer,Recursos Humanos,Bachiller,Pequeña,Hibrido,55726.96
EMP-006491,CODE-43765,2017-12-03,0.8,24,49.9,0.0,Sales Executive,Finanzas,Doctorado,Corporativa,Presencial,48300.96
EMP-010018,CODE-87219,2007-11-09,2.3,23,43.6,3.0,DevOps Engineer,Marketing,Bachiller,Pequeña,Presencial,51563.8
EMP-018674,CODE-24189,2011-08-23,2.4,25,50.0,,DevOps Engineer,Finanzas,Maestria,Startup,Hibrido,50654.08
EMP-001961,CODE-56745,2020-10-08,2.0,33,44.1,2.0,Data Analyst,Finanzas,Maestria,Startup,Presencial,32834.66
EMP-010090,CODE-74384,2011-11-01,0.0,23,50.7,0.0,HR Specialist,Marketing,Tecnico,Pequeña,Remoto,9000.0
EMP-018289,CODE-71558,2022-08-16,4.6,36,45.8,3.0,Software Engineer,Datos y Analitica,Bachiller,Grande,Remoto,61371.09
EMP-001828,CODE-19981,2014-05-07,7.4,42,41.7,2.0,Software Engineer,Datos y Analitica,Doctorado,Pequeña,Presencial,66794.48
EMP-001446,CODE-39401,2022-03-02,4.7,38,40.5,5.0,Data Scientist,Operaciones,Bachiller,Corporativa,Presencial,65295.64
EMP-009564,CODE-67708,2016-07-05,0.8,25,40.2,1.0,Software Engineer,Datos y Analitica,Doctorado,Grande,Hibrido,63893.82
EMP-003207,CODE-50105,2007-09-19,,27,44.9,4.0,Product Manager,Finanzas,Tecnico,Pequeña,Remoto,46283.35
EMP-010994,CODE-35173,2015-04-11,4.0,27,34.5,1.0,HR Specialist,Marketing,Bachiller,Grande,Presencial,38395.86
EMP-004058,CODE-68307,2023-04-04,5.6,31,47.6,3.0,HR Specialist,Datos y Analitica,Doctorado,Corporativa,Remoto,63562.66
EMP-000702,CODE-90954,2005-10-25,0.1,28,34.6,,Data Scientist,Datos y Analitica,Maestria,Grande,Remoto,57535.26
EMP-001976,CODE-13103,2010-03-04,8.7,32,41.7,0.0,HR Specialist,Ventas,Maestria,Pequeña,Remoto,46459.06
EMP-010571,CODE-20381,2019-02-12,14.6,42,45.0,5.0,Sales Executive,Operaciones,Bachiller,Mediana,Hibrido,62373.46
EMP-007214,CODE-71171,2009-05-13,2.1,30,44.1,1.0,Data Analyst,Datos y Analitica,Bachiller,Startup,Hibrido,20878.94
EMP-010830,CODE-92447,2015-01-29,35.0,61,46.6,4.0,Sales Executive,Operaciones,Tecnico,Corporativa,Remoto,98979.3
EMP-008079,CODE-69043,2020-11-06,3.5,28,44.7,0.0,Sales Executive,Finanzas,Tecnico,Pequeña,Hibrido,16304.68
EMP-017289,CODE-39262,2006-11-13,2.3,27,45.4,1.0,Marketing Analyst,Finanzas,Maestria,Startup,Remoto,33329.94
EMP-005608,CODE-25407,2008-07-28,8.8,34,46.0,3.0,Sales Executive,Ventas,Maestria,Startup,Hibrido,50444.27
EMP-006417,CODE-16645,2024-05-25,0.2,22,41.0,2.0,Sales Executive,Ventas,Maestria,Grande,Hibrido,29037.25
EMP-016083,CODE-42767,2024-01-07,1.5,25,47.9,1.0,Product Manager,Operaciones,Bachiller,Grande,Hibrido,52502.03
EMP-008744,CODE-45713,2023-10-29,8.7,30,39.3,1.0,Product Manager,Marketing,Bachiller,Corporativa,Remoto,70591.78
EMP-018611,CODE-10111,2014-12-26,13.9,43,32.9,0.0,HR Specialist,Datos y Analitica,Maestria,Mediana,Presencial,54595.52
EMP-001803,CODE-62698,2012-12-07,14.7,40,42.0,1.0,Sales Executive,Ventas,Bachiller,Corporativa,Remoto,68147.63
EMP-007581,CODE-59401,2019-06-22,2.3,38,44.6,1.0,Data Analyst,Ingenieria,Doctorado,Corporativa,Remoto,59052.89
EMP-015004,CODE-44356,2013-12-12,1.6,28,37.0,1.0,Sales Executive,Marketing,Bachiller,Startup,Hibrido,19555.06
EMP-004026,CODE-33974,2019-10-16,5.1,35,45.0,2.0,Data Analyst,Ingenieria,Bachiller,Grande,Hibrido,37893.3
EMP-010372,CODE-68026,2015-06-19,7.4,33,38.4,0.0,DevOps Engineer,Finanzas,Bachiller,Grande,Remoto,57598.44
EMP-000726,CODE-19796,2017-01-18,,23,34.2,2.0,Sales Executive,Ingenieria,Maestria,Pequeña,Presencial,33560.12
EMP-009019,CODE-66380,2013-01-10,5.2,26,48.4,2.0,Data Analyst,Finanzas,Bachiller,Pequeña,Remoto,39533.6
