vehicle_id,registration_number,car_name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power_bhp,selling_price
VH-005083,MH-09-9343,Mahindra Sunny,2003,,Petrol,Trustmark Dealer,Manual,Third Owner,11.7 kmpl,1588 CC,,69013.0
VH-009128,MH-45-9546,Renault Swift,2006,32728.0,Petrol,Dealer,Automatic,Second Owner,14.1 kmpl,908 CC,128.6,195334.0
VH-005394,MH-01-2391,Honda i20,2009,40494.0,Petrol,Individual,Manual,Second Owner,11.7 kmpl,2437 CC,223.1,365026.0
VH-008968,MH-27-6828,Tata Polo,2017,110088.0,Diesel,Individual,Automatic,Third Owner,17.7 kmpl,1167 CC,183.2,739291.0
VH-016345,MH-14-8030,Nissan Sunny,2006,,CNG,Individual,Manual,Second Owner,10.8 kmpl,2451 CC,187.9,183302.0
VH-007672,MH-07-6062,Maruti Sunny,2023,,Petrol,Individual,Manual,First Owner,9.2 kmpl,1055 CC,76.4,661522.0
VH-005446,MH-08-2576,Mahindra City,2003,54478.0,Petrol,Dealer,Manual,First Owner,19.6 kmpl,1600 CC,182.9,86463.0
VH-002090,MH-25-1515,Maruti Nexon,2017,14973.0,Petrol,Individual,Manual,First Owner,21.7 kmpl,1399 CC,195.8,603548.0
VH-019659,MH-34-3436,Ford Scorpio,2009,86256.0,Diesel,Individual,Manual,First Owner,17.4 kmpl,2757 CC,51.5,168040.0
VH-017517,MH-15-7035,Tata Innova,2015,186583.0,Petrol,Individual,Manual,Second Owner,16.8 kmpl,3014 CC,149.0,415095.0
VH-010146,MH-13-2048,Honda Polo,2008,28167.0,Petrol,Dealer,Manual,Fourth & Above,16.4 kmpl,3146 CC,180.6,259806.0
VH-015272,MH-04-8766,Volkswagen i20,2017,154700.0,Petrol,Individual,Automatic,First Owner,13.4 kmpl,974 CC,143.9,587741.0
VH-007085,MH-29-4639,Honda EcoSport,2019,66063.0,Diesel,Individual,Manual,Second Owner,22.4 kmpl,3246 CC,111.5,561356.0
VH-015992,MH-39-9129,Toyota Innova,2002,75351.0,Petrol,Individual,Manual,First Owner,20.6 kmpl,2534 CC,120.3,30000.0
VH-003073,MH-46-6743,Maruti Polo,2021,115361.0,CNG,Individual,Automatic,First Owner,20.1 kmpl,1382 CC,78.8,538716.0
VH-000385,MH-38-4092,Tata Swift,2001,29497.0,LPG,Dealer,Automatic,First Owner,24.0 kmpl,1809 CC,185.0,138896.0
VH-012724,MH-26-7159,Maruti Swift,2005,91635.0,Diesel,Individual,Manual,First Owner,22.3 kmpl,1002 CC,49.7,59595.0
VH-018870,MH-31-1668,Honda Scorpio,2021,62407.0,Diesel,Individual,Manual,First Owner,16.4 kmpl,3119 CC,192.2,783444.0
VH-001611,MH-36-6039,Honda Kwid,2019,14801.0,Diesel,Dealer,Automatic,First Owner,18.6 kmpl,1742 CC,235.6,934015.0
VH-012806,MH-13-8920,Toyota Kwid,2023,105395.0,Diesel,Dealer,Manual,First Owner,14.9 kmpl,2080 CC,139.5,833459.0
VH-003931,MH-24-5706,Tata i20,2016,85707.0,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2151 CC,75.0,468365.0
VH-003265,MH-31-8221,Maruti Kwid,2008,25368.0,CNG,Individual,Automatic,First Owner,25.0 kmpl,2761 CC,46.2,151092.0
VH-011807,MH-42-5612,Nissan Innova,2007,150354.0,Petrol,Dealer,Automatic,Second Owner,11.5 kmpl,3145 CC,41.9,173823.0
VH-019847,MH-29-1452,Ford Scorpio,2005,25146.0,Petrol,Dealer,Manual,Third Owner,12.0 kmpl,2408 CC,174.3,185616.0
VH-011812,MH-48-3044,Ford Innova,2004,56351.0,LPG,Individual,Manual,First Owner,9.3 kmpl,2612 CC,86.7,30000.0
VH-015963,MH-17-7488,Nissan Nexon,2015,54551.0,Diesel,Dealer,Automatic,First Owner,21.7 kmpl,2892 CC,138.7,586557.0
VH-008337,MH-02-1095,Nissan Nexon,2019,40613.0,Electric,Dealer,Manual,First Owner,12.7 kmpl,2154 CC,95.2,785276.0
VH-003169,MH-33-5171,Maruti Innova,2012,,Petrol,Individual,Automatic,Second Owner,13.7 kmpl,2528 CC,130.2,373885.0
VH-019081,MH-10-4136,Toyota i20,2005,322634.0,Petrol,Dealer,Manual,First Owner,18.0 kmpl,3346 CC,41.6,30000.0
VH-001729,MH-41-3345,Volkswagen Polo,2013,500000.0,Petrol,Individual,Manual,Second Owner,17.2 kmpl,1822 CC,95.8,37370.0
VH-004902,MH-19-8887,Hyundai EcoSport,2013,101300.0,Petrol,Dealer,Manual,Second Owner,8.9 kmpl,1092 CC,123.9,313028.0
VH-013508,MH-34-1284,Hyundai Polo,2016,65955.0,Petrol,Individual,Manual,First Owner,9.5 kmpl,2630 CC,62.0,472443.0
VH-013332,MH-46-9587,Mahindra Sunny,2005,18626.0,Diesel,Individual,Manual,,13.7 kmpl,1193 CC,82.6,129360.0
VH-005224,MH-40-4236,Mahindra i20,2021,40453.0,Petrol,Individual,Manual,First Owner,9.1 kmpl,3039 CC,148.3,745632.0
VH-018164,MH-31-8346,Hyundai i20,2018,66857.0,Diesel,Dealer,Manual,First Owner,15.5 kmpl,2636 CC,195.3,666717.0
VH-018847,MH-21-3082,Tata i20,2018,59830.0,Petrol,Dealer,Automatic,Second Owner,24.4 kmpl,3106 CC,110.6,595435.0
VH-017207,MH-36-4659,Hyundai Swift,2019,43444.0,Petrol,Individual,Manual,First Owner,10.6 kmpl,1861 CC,169.5,665612.0
VH-019393,MH-11-4173,Honda Nexon,2006,61256.0,LPG,Dealer,Manual,Second Owner,18.5 kmpl,1042 CC,124.2,164175.0
VH-012538,MH-33-1666,Hyundai City,2016,84116.0,Petrol,Individual,Manual,First Owner,23.0 kmpl,2062 CC,61.6,426730.0
VH-004691,MH-47-2154,Volkswagen Nexon,2008,39386.0,Petrol,Individual,Manual,First Owner,19.8 kmpl,1311 CC,138.9,198695.0
VH-005245,MH-47-5252,Nissan Kwid,2004,131942.0,Petrol,Dealer,Manual,Second Owner,18.9 kmpl,2188 CC,247.1,218288.0
VH-011507,MH-48-4962,Maruti Swift,2013,66990.0,Petrol,Dealer,Manual,First Owner,15.1 kmpl,1596 CC,229.2,551428.0
VH-004794,MH-39-5564,Toyota City,2008,62715.0,LPG,Individual,Manual,First Owner,21.1 kmpl,3354 CC,164.8,316377.0
VH-009500,MH-37-3637,Hyundai City,2009,48697.0,Diesel,Individual,Manual,First Owner,10.3 kmpl,1980 CC,60.5,185920.0
VH-017913,MH-01-1779,Maruti Nexon,2022,29154.0,Diesel,Individual,Automatic,First Owner,15.9 kmpl,2722 CC,74.8,899755.0
VH-002319,MH-25-4896,Volkswagen Kwid,2001,38533.0,CNG,Trustmark Dealer,Automatic,Second Owner,20.6 kmpl,3001 CC,43.6,30000.0
VH-004201,MH-26-3401,Hyundai City,2018,37619.0,Diesel,Dealer,Manual,Second Owner,22.7 kmpl,3423 CC,51.4,512440.0
VH-007499,MH-18-7020,Nissan Kwid,2020,32607.0,Petrol,Individual,Manual,Second Owner,16.2 kmpl,3396 CC,133.6,737138.0
VH-015505,MH-36-5913,Mahindra Innova,2009,,Petrol,Dealer,Manual,First Owner,18.6 kmpl,2506 CC,110.7,225400.0
VH-011605,MH-10-3470,Honda Scorpio,2018,88423.0,Petrol,Individual,Manual,Second Owner,16.6 kmpl,2673 CC,155.6,593078.0
VH-003376,MH-31-1874,Nissan Polo,2021,45419.0,Petrol,Individual,Manual,First Owner,24.2 kmpl,2177 CC,45.0,519955.0
VH-011648,MH-17-4058,Renault Innova,2012,51240.0,Diesel,Dealer,Automatic,Second Owner,24.3 kmpl,3423 CC,233.4,582127.0
VH-016072,MH-21-6310,Honda Swift,2018,146422.0,Petrol,Individual,Manual,Fourth & Above,11.7 kmpl,1067 CC,168.4,605123.0
VH-012920,MH-43-4714,Hyundai Scorpio,2019,90690.0,Diesel,Dealer,Manual,Fourth & Above,12.5 kmpl,2103 CC,125.3,665893.0
VH-013972,MH-16-6420,Ford Innova,2001,87193.0,Petrol,Dealer,Manual,Third Owner,15.8 kmpl,2368 CC,190.1,50871.0
VH-008452,MH-38-8060,Volkswagen Swift,2016,54008.0,Petrol,Dealer,Manual,First Owner,21.6 kmpl,1819 CC,147.4,464306.0
VH-003142,MH-04-6999,Toyota Sunny,2004,100187.0,Petrol,Individual,Manual,First Owner,20.3 kmpl,1696 CC,101.4,30000.0
VH-016554,MH-37-6464,Maruti Scorpio,2003,13507.0,Petrol,Dealer,Manual,First Owner,9.9 kmpl,1629 CC,178.5,140027.0
VH-018315,MH-29-9024,Honda i20,2014,47651.0,Petrol,Individual,Automatic,Second Owner,24.9 kmpl,1523 CC,95.9,402526.0
VH-011255,MH-13-7598,Hyundai Scorpio,2006,43630.0,Petrol,Trustmark Dealer,Manual,Third Owner,11.5 kmpl,2059 CC,113.4,185724.0
VH-008299,MH-23-8275,Honda Scorpio,2016,46054.0,CNG,Dealer,Manual,First Owner,21.2 kmpl,2652 CC,159.9,606357.0
VH-002617,MH-02-6078,Tata Swift,2000,47950.0,Petrol,Dealer,Automatic,Second Owner,13.7 kmpl,3465 CC,81.0,30000.0
VH-016451,MH-17-2835,Honda Nexon,2000,99131.0,Petrol,Individual,Automatic,Third Owner,15.6 kmpl,865 CC,,30000.0
VH-002898,MH-16-5050,Tata Swift,2003,178726.0,Petrol,Dealer,Manual,First Owner,11.3 kmpl,1887 CC,155.5,30000.0
VH-014063,MH-05-3004,Tata City,2017,41349.0,Diesel,Dealer,Automatic,First Owner,18.2 kmpl,1930 CC,240.8,756605.0
VH-007344,MH-15-6367,Ford Kwid,2013,37610.0,Diesel,Dealer,Manual,First Owner,23.5 kmpl,3497 CC,64.7,375004.0
VH-014746,MH-13-3308,Nissan Innova,2018,,Diesel,Individual,Automatic,Second Owner,23.9 kmpl,2449 CC,71.6,607708.0
VH-010726,MH-42-1051,Toyota Polo,2001,99826.0,Petrol,Dealer,Manual,Second Owner,22.4 kmpl,3052 CC,160.3,53580.0
VH-004949,MH-43-2792,Renault Innova,2005,35358.0,Petrol,Dealer,Automatic,First Owner,22.1 kmpl,1117 CC,208.6,292792.0
VH-007671,MH-13-2151,Toyota Kwid,2003,40461.0,Petrol,Individual,Manual,First Owner,20.8 kmpl,3448 CC,42.5,30000.0
VH-006847,MH-11-9435,Volkswagen EcoSport,2007,120610.0,Petrol,Individual,Automatic,First Owner,9.7 kmpl,2728 CC,118.3,154384.0
VH-013708,MH-14-6871,Tata City,2007,39282.0,Petrol,Dealer,Manual,Third Owner,19.2 kmpl,3268 CC,175.0,256052.0
VH-000451,MH-27-1087,Renault EcoSport,2003,32493.0,Diesel,Individual,Manual,First Owner,15.0 kmpl,1517 CC,119.7,111251.0
VH-006328,MH-15-3437,Ford Polo,2007,37105.0,CNG,Individual,Manual,First Owner,19.3 kmpl,2567 CC,103.5,165643.0
VH-008421,MH-17-3364,Renault Polo,2005,75134.0,Petrol,Dealer,Automatic,Third Owner,11.9 kmpl,2991 CC,56.4,30000.0
VH-013334,MH-47-7475,Maruti Polo,2013,85318.0,Petrol,Individual,Manual,First Owner,8.3 kmpl,2668 CC,117.8,345197.0
VH-002579,MH-26-9037,Volkswagen Sunny,2014,17172.0,Diesel,Dealer,Manual,First Owner,12.7 kmpl,1423 CC,201.0,589547.0
VH-002392,MH-39-1198,Maruti EcoSport,2022,79643.0,Diesel,Individual,Automatic,First Owner,14.8 kmpl,2025 CC,145.8,798519.0
VH-002189,MH-37-4396,Honda i20,2002,47927.0,Diesel,Dealer,Manual,,10.7 kmpl,2280 CC,103.0,30000.0
VH-019064,MH-08-8204,Toyota City,2014,66534.0,Petrol,Individual,Manual,First Owner,17.1 kmpl,1923 CC,241.7,538957.0
VH-005787,MH-17-3738,Toyota City,2000,74969.0,CNG,Individual,Manual,First Owner,22.8 kmpl,3470 CC,40.1,30000.0
VH-007527,MH-11-8454,Nissan i20,2011,101518.0,Petrol,Dealer,Automatic,First Owner,22.1 kmpl,1858 CC,199.2,450915.0
VH-000606,MH-49-8846,Maruti Polo,2005,39997.0,Petrol,Trustmark Dealer,Manual,First Owner,19.5 kmpl,3245 CC,45.4,30000.0
VH-000119,MH-16-4062,Maruti Kwid,2000,25979.0,Petrol,Individual,Manual,First Owner,8.3 kmpl,2135 CC,86.3,30000.0
VH-002480,MH-38-7098,Ford Nexon,2014,72040.0,Petrol,Trustmark Dealer,Automatic,First Owner,9.9 kmpl,2278 CC,89.5,367331.0
VH-006532,MH-47-6686,Tata Polo,2000,50023.0,CNG,Individual,Manual,First Owner,9.9 kmpl,1731 CC,240.8,127185.0
VH-013176,MH-21-2790,Toyota City,2002,22054.0,Diesel,Individual,Manual,First Owner,23.3 kmpl,2334 CC,155.6,109706.0
VH-013163,MH-15-5188,Nissan i20,2019,38190.0,Diesel,Dealer,Automatic,First Owner,20.8 kmpl,2980 CC,155.8,769884.0
VH-001805,MH-29-4995,Tata Scorpio,2004,33990.0,Petrol,Individual,Manual,First Owner,15.7 kmpl,2396 CC,160.3,36068.0
VH-009838,MH-07-7370,Toyota City,2004,74947.0,Diesel,Individual,Manual,Second Owner,12.7 kmpl,2415 CC,205.0,286839.0
VH-007535,MH-19-8729,Toyota Scorpio,2007,130406.0,Diesel,Dealer,Manual,First Owner,18.4 kmpl,2086 CC,239.9,353185.0
VH-017780,MH-24-8309,Maruti i20,2006,15359.0,Petrol,Dealer,Automatic,First Owner,16.8 kmpl,2636 CC,159.8,301995.0
VH-011562,MH-39-3203,Honda Sunny,2020,65847.0,Diesel,Individual,Manual,Second Owner,20.9 kmpl,1810 CC,189.6,814018.0
VH-001337,MH-11-8827,Ford Nexon,2016,120145.0,Diesel,Dealer,Manual,Second Owner,15.4 kmpl,3498 CC,241.6,671314.0
VH-002752,MH-06-1026,Tata Nexon,2003,31573.0,Petrol,Individual,Manual,First Owner,18.9 kmpl,1885 CC,175.7,148078.0
VH-019422,MH-32-5557,Hyundai i20,2015,32581.0,Diesel,Individual,Automatic,First Owner,14.4 kmpl,1389 CC,56.3,451309.0
VH-006153,MH-27-9824,Maruti Nexon,2011,32634.0,Diesel,Individual,Manual,Third Owner,9.6 kmpl,3061 CC,172.5,575820.0
VH-004028,MH-33-1887,Toyota Polo,2014,78649.0,Diesel,Dealer,Manual,Fourth & Above,14.7 kmpl,2380 CC,93.0,323184.0
VH-002527,MH-02-5285,Hyundai Polo,2000,53468.0,Diesel,Dealer,Manual,Third Owner,14.5 kmpl,1159 CC,143.0,30000.0
VH-009529,MH-13-2374,Volkswagen Polo,2015,29264.0,Petrol,Individual,Automatic,First Owner,8.2 kmpl,2078 CC,,440175.0
VH-012412,MH-43-8445,Hyundai Kwid,2003,33586.0,Petrol,Dealer,Manual,First Owner,19.1 kmpl,3418 CC,136.5,62887.0
VH-004768,MH-25-4802,Honda Scorpio,2001,71713.0,Petrol,Individual,Manual,First Owner,16.0 kmpl,3438 CC,148.2,30000.0
VH-016876,MH-19-1628,Nissan EcoSport,2018,25640.0,Petrol,Individual,Manual,Second Owner,17.9 kmpl,1881 CC,123.2,469530.0
VH-011584,MH-22-1483,Honda i20,2020,94317.0,Petrol,Individual,Automatic,Fourth & Above,22.7 kmpl,2043 CC,166.2,803235.0
VH-008171,MH-19-6969,Nissan Scorpio,2019,14987.0,Petrol,Dealer,Manual,Third Owner,20.7 kmpl,1833 CC,89.5,549000.0
VH-008233,MH-12-3189,Renault City,2002,26490.0,Petrol,Individual,Manual,Second Owner,9.6 kmpl,3340 CC,118.4,30000.0
VH-004547,MH-28-3205,Mahindra Sunny,2003,107867.0,Diesel,Individual,Manual,Second Owner,20.3 kmpl,2514 CC,119.6,57045.0
VH-008295,MH-44-4401,Hyundai i20,2001,57017.0,Petrol,Dealer,Manual,First Owner,13.5 kmpl,2491 CC,156.5,30000.0
VH-003532,MH-47-9767,Honda Nexon,2015,31748.0,Petrol,Dealer,Manual,First Owner,18.9 kmpl,877 CC,176.5,627495.0
VH-010331,MH-46-2929,Toyota Swift,2005,,LPG,Dealer,Manual,First Owner,18.1 kmpl,1092 CC,170.8,151381.0
VH-014494,MH-48-2971,Maruti Swift,2003,60999.0,Diesel,Individual,Manual,,20.6 kmpl,1412 CC,163.3,83037.0
VH-004049,MH-32-1225,Nissan i20,2005,50018.0,Diesel,Trustmark Dealer,Manual,Third Owner,23.5 kmpl,2018 CC,68.0,42043.0
VH-019783,MH-17-2656,Volkswagen Polo,2013,24839.0,Diesel,Dealer,Manual,Second Owner,24.6 kmpl,2497 CC,237.0,645088.0
VH-014094,MH-01-9218,Toyota Polo,2020,129758.0,Petrol,Individual,Manual,First Owner,22.0 kmpl,1506 CC,46.7,453105.0
VH-015383,MH-20-6826,Honda Swift,2001,44362.0,Diesel,Dealer,Manual,First Owner,18.5 kmpl,2068 CC,67.0,30000.0
VH-012196,MH-08-1776,Toyota Nexon,2010,97569.0,Diesel,Individual,Manual,Third Owner,20.3 kmpl,965 CC,149.5,352351.0
VH-014676,MH-10-7857,Nissan Swift,2006,80773.0,Petrol,Dealer,Manual,Second Owner,19.6 kmpl,1372 CC,129.6,143413.0
VH-002346,MH-16-5248,Renault Scorpio,2003,151735.0,Petrol,Individual,Manual,Second Owner,19.5 kmpl,3251 CC,85.3,30000.0
VH-015308,MH-03-1736,Toyota Nexon,2005,93809.0,Petrol,Individual,Manual,First Owner,20.6 kmpl,2250 CC,44.7,67295.0
VH-002647,MH-45-5059,Hyundai City,2011,40737.0,CNG,Dealer,Manual,Second Owner,14.7 kmpl,1550 CC,,120113.0
VH-008037,MH-10-8955,Honda City,2005,89933.0,Petrol,Dealer,Automatic,,19.5 kmpl,1325 CC,211.3,315513.0
VH-000034,MH-41-6671,Maruti Innova,2016,69122.0,Petrol,Dealer,Automatic,First Owner,21.8 kmpl,1764 CC,121.2,559638.0
VH-009102,MH-23-7630,Hyundai Scorpio,2004,202010.0,Petrol,Dealer,Automatic,Third Owner,10.2 kmpl,2649 CC,59.3,30000.0
VH-004724,MH-49-6189,Ford Innova,2008,113516.0,Petrol,Individual,Automatic,Third Owner,19.7 kmpl,2350 CC,83.1,184498.0
VH-011974,MH-34-6416,Nissan Innova,2023,32533.0,Petrol,Dealer,Manual,,16.8 kmpl,859 CC,249.1,881314.0
VH-013933,MH-49-6792,Nissan Scorpio,2016,128582.0,Petrol,Dealer,Manual,First Owner,11.2 kmpl,1165 CC,234.8,620395.0
VH-002145,MH-30-9278,Honda EcoSport,2006,242860.0,Diesel,Individual,Automatic,First Owner,22.1 kmpl,1068 CC,103.7,250723.0
VH-009332,MH-21-6683,Tata Sunny,2012,19872.0,Petrol,Individual,Manual,First Owner,17.0 kmpl,2814 CC,229.4,395527.0
VH-019180,MH-48-8618,Renault Swift,2020,70726.0,Petrol,Dealer,Automatic,Second Owner,18.5 kmpl,3078 CC,94.0,649057.0
VH-000866,MH-40-2927,Tata Innova,2017,241927.0,Diesel,Dealer,Automatic,,13.3 kmpl,907 CC,116.9,529572.0
VH-013797,MH-01-6924,Hyundai Kwid,2010,151742.0,Petrol,Individual,Manual,First Owner,10.6 kmpl,1175 CC,99.9,157383.0
VH-009983,MH-39-8911,Hyundai EcoSport,2008,180316.0,Petrol,Dealer,Manual,First Owner,19.0 kmpl,3003 CC,165.1,107674.0
VH-013559,MH-41-2726,Honda Polo,2003,61486.0,Petrol,Dealer,Manual,First Owner,13.3 kmpl,1407 CC,,30000.0
VH-008317,MH-19-8559,Hyundai EcoSport,2000,134932.0,Petrol,Dealer,Automatic,First Owner,17.9 kmpl,3046 CC,110.7,30000.0
VH-019706,MH-39-7168,Maruti Nexon,2008,40082.0,Petrol,Dealer,Manual,First Owner,11.1 kmpl,3051 CC,197.6,335924.0
VH-017661,MH-39-6574,Mahindra Innova,2005,55809.0,Diesel,Individual,Manual,Second Owner,8.2 kmpl,1319 CC,167.7,214320.0
VH-004148,MH-37-3316,Nissan Kwid,2003,59249.0,Petrol,Individual,Manual,First Owner,19.0 kmpl,3270 CC,71.2,30000.0
VH-004505,MH-20-6344,Maruti EcoSport,2008,90056.0,Petrol,Individual,Automatic,First Owner,20.5 kmpl,3136 CC,240.1,385259.0
VH-008730,MH-19-1489,Honda City,2010,67474.0,Petrol,Dealer,Automatic,First Owner,11.5 kmpl,823 CC,185.0,458100.0
VH-012051,MH-18-3727,Tata EcoSport,2015,30500.0,Petrol,Dealer,Manual,Second Owner,22.9 kmpl,2610 CC,166.6,496926.0
VH-014035,MH-15-6438,Nissan EcoSport,2012,40352.0,Diesel,Dealer,Manual,First Owner,16.8 kmpl,2612 CC,89.3,332122.0
VH-000503,MH-49-5586,Hyundai City,2003,126107.0,Diesel,Individual,Automatic,Second Owner,21.4 kmpl,2316 CC,48.4,30000.0
VH-008426,MH-12-3109,Hyundai Polo,2004,67503.0,Diesel,Dealer,Automatic,First Owner,21.5 kmpl,971 CC,91.9,176350.0
VH-003739,MH-32-3076,Honda Scorpio,2003,132686.0,Diesel,Individual,Manual,First Owner,15.0 kmpl,2805 CC,76.8,74561.0
VH-015908,MH-20-7014,Mahindra Swift,2016,168463.0,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1356 CC,179.9,545174.0
VH-000351,MH-41-5380,Hyundai Scorpio,2013,33122.0,Petrol,Dealer,Manual,First Owner,15.0 kmpl,2687 CC,174.0,487410.0
VH-007298,MH-21-8739,Honda City,2004,121281.0,Diesel,Individual,Manual,First Owner,23.3 kmpl,2340 CC,206.4,294351.0
VH-015626,MH-38-3136,Honda Innova,2002,45786.0,CNG,Individual,Manual,First Owner,12.6 kmpl,1898 CC,209.3,188200.0
VH-007222,MH-28-1584,Honda Polo,2002,70980.0,Petrol,Dealer,Manual,First Owner,23.5 kmpl,2432 CC,215.2,148263.0
VH-014131,MH-17-8742,Mahindra Sunny,2005,39212.0,Diesel,Individual,Automatic,Third Owner,18.5 kmpl,1866 CC,,338547.0
VH-007026,MH-06-3542,Toyota Sunny,2002,39715.0,Electric,Dealer,Manual,First Owner,20.4 kmpl,3414 CC,84.8,136627.0
VH-009252,MH-48-3438,Volkswagen i20,2023,127618.0,Petrol,Dealer,Manual,First Owner,20.8 kmpl,2254 CC,211.5,762987.0
VH-015750,MH-12-7264,Mahindra Kwid,2006,29263.0,Petrol,Individual,Automatic,Second Owner,8.6 kmpl,1985 CC,,155555.0
VH-002516,MH-05-8083,Volkswagen Sunny,2012,36770.0,Diesel,Individual,Manual,Second Owner,21.4 kmpl,1196 CC,157.6,539183.0
VH-019439,MH-35-8041,Honda City,2023,85416.0,Electric,Individual,Automatic,Second Owner,8.5 kmpl,1781 CC,121.9,942660.0
VH-003393,MH-02-9546,Tata Polo,2008,90183.0,Diesel,Dealer,Automatic,Second Owner,10.9 kmpl,2815 CC,69.1,288541.0
VH-019683,MH-33-3304,Honda Sunny,2012,149849.0,Petrol,Dealer,Manual,First Owner,12.7 kmpl,3307 CC,,365553.0
VH-018006,MH-40-8097,Toyota Sunny,2008,43313.0,Electric,Individual,Automatic,Second Owner,22.7 kmpl,1857 CC,223.3,701090.0
VH-010540,MH-35-5781,Nissan Swift,2019,215318.0,CNG,Dealer,Manual,Second Owner,23.3 kmpl,2519 CC,89.8,428672.0
VH-016251,MH-09-8907,Ford Polo,2018,73253.0,Petrol,Dealer,Automatic,First Owner,13.6 kmpl,2427 CC,140.7,667037.0
VH-009976,MH-15-2965,Toyota Kwid,2017,21894.0,Petrol,Dealer,Automatic,Second Owner,17.0 kmpl,1803 CC,149.0,477882.0
VH-014946,MH-27-3014,Hyundai EcoSport,2015,186243.0,Petrol,Dealer,Automatic,First Owner,10.4 kmpl,2755 CC,188.5,570443.0
VH-001027,MH-34-1500,Hyundai i20,2003,23164.0,Petrol,Dealer,Manual,Second Owner,14.1 kmpl,3146 CC,249.3,273475.0
VH-007286,MH-36-5055,Hyundai Innova,2023,136657.0,Petrol,Individual,Manual,First Owner,8.5 kmpl,2718 CC,49.1,572373.0
VH-001456,MH-26-9854,Tata City,2017,106007.0,Petrol,Dealer,Automatic,First Owner,18.7 kmpl,1893 CC,55.4,493508.0
VH-003559,MH-19-2384,Ford City,2006,233140.0,Diesel,Individual,Manual,First Owner,13.0 kmpl,1519 CC,215.3,213930.0
VH-013253,MH-17-9577,Hyundai Polo,2017,27238.0,Diesel,Dealer,Manual,Second Owner,12.6 kmpl,1661 CC,94.8,946487.0
VH-007403,MH-27-3701,Mahindra Kwid,2002,151263.0,Petrol,Dealer,Automatic,First Owner,23.4 kmpl,855 CC,140.3,47005.0
VH-018415,MH-24-9718,Hyundai Scorpio,2010,137947.0,Petrol,Individual,Manual,First Owner,19.0 kmpl,930 CC,112.9,155173.0
VH-007917,MH-25-9483,Toyota Innova,2023,197750.0,Petrol,Individual,Manual,First Owner,9.7 kmpl,1736 CC,96.4,609800.0
