flight_id,booking_reference,departure_date,airline,source_city,destination_city,travel_class,duration_minutes,days_left,stops,departure_time_slot,price
FL-002029,PNR-571334,2025-04-30,JetSmart,Buenos Aires,Mexico City,Economy,140.0,8.0,0,Tarde,45.0
FL-003899,PNR-373033,2025-02-18,Avianca,Bogota,Buenos Aires,Economy,300.0,8.0,0,Tarde,259.89
FL-019139,PNR-402747,2024-08-10,Copa Airlines,Sao Paulo,Miami,Economy,99.0,13.0,0,Noche,169.74
FL-003821,PNR-283966,2023-12-06,American Airlines,Bogota,Madrid,Economy,223.0,2.0,0,Mañana,256.94
FL-018588,PNR-883943,2024-07-22,Sky Airline,Sao Paulo,Lima,Economy,394.0,1.0,0,Tarde,236.07
FL-008545,PNR-225135,2025-11-27,American Airlines,Lima,Madrid,Economy,363.0,5.0,0,Madrugada,352.1
FL-003043,PNR-125412,2025-02-10,Iberia,Buenos Aires,Lima,Economy,179.0,4.0,1,Tarde,201.53
FL-016031,PNR-931745,2023-11-29,Copa Airlines,Miami,Santiago,Premium Economy,238.0,3.0,2,Mañana,460.22
FL-017256,PNR-723836,2024-01-05,Iberia,Buenos Aires,Lima,Economy,372.0,23.0,2,Noche,396.76
FL-007231,PNR-853131,2024-02-04,American Airlines,Santiago,Miami,Economy,98.0,28.0,0,Noche,87.34
FL-016867,PNR-249441,2025-11-01,Avianca,Buenos Aires,Madrid,Premium Economy,101.0,4.0,0,Mañana,334.82
FL-016735,PNR-768620,2024-09-01,JetSmart,Sao Paulo,Bogota,Economy,380.0,2.0,0,Noche,176.27
FL-016417,PNR-696014,2024-10-13,JetSmart,Madrid,Buenos Aires,Business,45.0,9.0,0,Madrugada,526.18
FL-004974,PNR-889877,2024-03-08,American Airlines,Sao Paulo,Miami,Economy,45.0,0.0,1,Mañana,144.48
FL-011230,PNR-378285,2024-06-19,Avianca,Madrid,Buenos Aires,Economy,324.0,39.0,0,Noche,162.76
FL-006162,PNR-519012,2023-07-16,Copa Airlines,Bogota,Madrid,Economy,45.0,10.0,0,Noche Tardia,45.0
FL-008633,PNR-215185,2025-12-16,American Airlines,Mexico City,Buenos Aires,Economy,205.0,5.0,0,Noche Tardia,222.72
FL-016708,PNR-490419,2025-11-20,American Airlines,Lima,Madrid,Economy,217.0,6.0,0,Tarde,182.36
FL-014141,PNR-575807,2025-02-04,Iberia,Miami,Buenos Aires,Economy,47.0,15.0,1,Noche Tardia,177.13
FL-012896,PNR-401033,2025-08-05,American Airlines,Bogota,Mexico City,Premium Economy,103.0,13.0,2,Noche Tardia,444.16
FL-016531,PNR-406217,2024-05-13,JetSmart,Lima,Sao Paulo,Economy,230.0,,1,Tarde,119.84
FL-019096,PNR-530932,2023-09-03,Copa Airlines,Sao Paulo,Mexico City,Premium Economy,303.0,6.0,2,Madrugada,472.39
FL-015885,PNR-806793,2025-07-29,Copa Airlines,Bogota,Lima,Premium Economy,176.0,8.0,0,Noche,332.47
FL-018971,PNR-723424,2025-06-21,Avianca,Sao Paulo,Bogota,Business,269.0,5.0,0,Mañana,763.84
FL-003267,PNR-963548,2024-03-27,JetSmart,Santiago,Lima,Economy,134.0,40.0,0,Mañana,45.0
FL-003502,PNR-421411,2025-10-02,LATAM,Buenos Aires,Bogota,Economy,197.0,39.0,0,Noche Tardia,179.16
FL-009508,PNR-663947,2025-12-18,JetSmart,Miami,Bogota,Economy,159.0,9.0,0,Tarde,45.0
FL-012820,PNR-674743,2023-09-19,JetSmart,Buenos Aires,Mexico City,Economy,45.0,19.0,0,Madrugada,45.0
FL-012269,PNR-839688,2025-12-05,Sky Airline,Sao Paulo,Lima,Premium Economy,311.0,25.0,0,Noche Tardia,304.08
FL-010736,PNR-962408,2023-10-30,Copa Airlines,Sao Paulo,Madrid,Economy,302.0,6.0,2,Mañana,303.63
FL-015367,PNR-340302,2023-08-29,LATAM,Bogota,Madrid,Economy,177.0,2.0,0,Noche,173.13
FL-007892,PNR-366097,2025-01-02,LATAM,Sao Paulo,Buenos Aires,Business,103.0,15.0,1,Mañana,691.08
FL-010784,PNR-604700,2025-09-06,Avianca,Madrid,Mexico City,Economy,231.0,10.0,2,Noche Tardia,277.19
FL-013788,PNR-953516,2024-08-08,JetSmart,Madrid,Lima,Economy,120.0,17.0,1,Noche,45.0
FL-018890,PNR-876245,2025-06-08,Sky Airline,Madrid,Mexico City,Economy,295.0,5.0,1,Mañana,171.91
FL-016243,PNR-434448,2024-02-06,Iberia,Sao Paulo,Lima,Economy,258.0,8.0,1,Mañana,308.71
FL-007061,PNR-130057,2024-08-02,LATAM,Buenos Aires,Miami,Economy,311.0,1.0,0,Tarde,276.87
FL-017486,PNR-954881,2025-03-16,Avianca,Lima,Buenos Aires,Economy,237.0,15.0,1,Noche Tardia,215.71
FL-015947,PNR-774974,2023-06-10,American Airlines,Sao Paulo,Madrid,Economy,237.0,14.0,0,Madrugada,206.73
FL-007550,PNR-349942,2024-03-17,Copa Airlines,Madrid,Buenos Aires,Economy,343.0,45.0,2,Mañana,301.97
FL-011542,PNR-472133,2025-03-08,Avianca,Buenos Aires,Miami,Economy,362.0,22.0,0,Noche Tardia,214.99
FL-018708,PNR-841329,2025-10-28,LATAM,Lima,Bogota,Business,187.0,10.0,0,Mañana,701.34
FL-018417,PNR-349065,2024-05-25,American Airlines,Sao Paulo,Lima,Economy,257.0,11.0,2,Mañana,302.2
FL-004109,PNR-970014,2025-04-14,Sky Airline,Santiago,Madrid,Economy,238.0,16.0,0,Tarde,186.54
FL-005659,PNR-737004,2025-12-17,JetSmart,Buenos Aires,Santiago,Economy,231.0,16.0,0,Tarde,84.43
FL-017326,PNR-728499,2023-06-28,Iberia,Madrid,Miami,Economy,64.0,27.0,0,Mañana,55.01
FL-010293,PNR-313804,2024-09-18,Iberia,Miami,Lima,Economy,210.0,3.0,1,Noche Tardia,305.99
FL-019108,PNR-482410,2025-12-14,Copa Airlines,Santiago,Mexico City,Economy,264.0,0.0,0,Noche Tardia,246.61
FL-014994,PNR-399856,2025-09-12,American Airlines,Bogota,Santiago,Economy,538.0,0.0,0,Noche Tardia,394.5
FL-005683,PNR-605845,2025-04-09,Iberia,Lima,Madrid,Economy,509.0,3.0,1,Madrugada,412.18
FL-011629,PNR-730195,2024-07-07,Copa Airlines,Bogota,Miami,Economy,254.0,4.0,1,Madrugada,226.02
FL-012270,PNR-277224,2025-06-10,Iberia,Lima,Buenos Aires,Economy,428.0,4.0,1,Mañana,354.85
FL-007274,PNR-970211,2024-07-22,American Airlines,Sao Paulo,Bogota,Premium Economy,242.0,9.0,1,Madrugada,340.88
FL-014378,PNR-310122,2025-10-20,Avianca,Buenos Aires,Santiago,Economy,240.0,16.0,0,Mañana,63.62
FL-015859,PNR-717987,2023-06-27,Iberia,Miami,Lima,Business,110.0,21.0,2,Mañana,739.3
FL-011818,PNR-392321,2024-03-24,LATAM,Santiago,Bogota,Economy,97.0,6.0,0,Madrugada,142.08
FL-006122,PNR-260940,2025-09-11,Avianca,Bogota,Miami,Economy,357.0,19.0,0,Mañana,161.62
FL-004985,PNR-960444,2025-04-12,Avianca,Miami,Santiago,Premium Economy,284.0,8.0,0,Noche Tardia,445.59
FL-005766,PNR-266327,2024-02-09,Iberia,Buenos Aires,Bogota,Premium Economy,279.0,6.0,0,Madrugada,451.28
FL-011752,PNR-334218,2023-10-17,Avianca,Madrid,Santiago,Economy,436.0,14.0,2,Noche,368.6
FL-010939,PNR-679148,2024-05-20,JetSmart,Sao Paulo,Santiago,Economy,235.0,31.0,0,Mañana,45.0
FL-011440,PNR-403675,2024-06-19,Avianca,Miami,Buenos Aires,Economy,242.0,13.0,1,Tarde,188.4
FL-007696,PNR-297782,2024-12-23,American Airlines,Bogota,Mexico City,Economy,244.0,3.0,0,Mañana,180.47
FL-002179,PNR-871459,2024-01-23,JetSmart,Sao Paulo,Miami,Economy,45.0,,1,Mañana,95.54
FL-012605,PNR-482280,2023-09-13,Iberia,Santiago,Buenos Aires,Economy,427.0,3.0,1,Noche Tardia,463.69
FL-003838,PNR-989382,2024-03-15,Avianca,Sao Paulo,Miami,Economy,426.0,1.0,1,Mañana,357.98
FL-015472,PNR-331835,2024-11-05,American Airlines,Buenos Aires,Miami,Economy,372.0,6.0,0,Madrugada,338.5
FL-007417,PNR-836244,2024-08-24,JetSmart,Bogota,Lima,Economy,45.0,26.0,0,Noche Tardia,45.0
FL-017796,PNR-633540,2025-05-24,LATAM,Miami,Bogota,Economy,191.0,2.0,1,Madrugada,295.37
FL-017413,PNR-711459,2024-09-12,American Airlines,Mexico City,Bogota,Premium Economy,141.0,3.0,0,Noche Tardia,353.25
FL-011769,PNR-261931,2025-04-29,JetSmart,Bogota,Santiago,Economy,421.0,,1,Noche Tardia,214.01
FL-004127,PNR-868045,2024-01-21,Iberia,Miami,Lima,Economy,220.0,13.0,0,Mañana,177.14
FL-009835,PNR-396114,2025-08-16,LATAM,Buenos Aires,Lima,Economy,166.0,21.0,0,Noche,203.24
FL-016784,PNR-763648,2024-12-11,Avianca,Buenos Aires,Madrid,Economy,346.0,,1,Noche,198.63
FL-016209,PNR-497938,2025-08-29,American Airlines,Lima,Bogota,Economy,399.0,25.0,1,Mañana,303.63
FL-011463,PNR-554515,2023-08-30,Iberia,Bogota,Lima,Economy,305.0,27.0,1,Noche Tardia,316.74
FL-018962,PNR-528183,2024-06-04,Copa Airlines,Buenos Aires,Santiago,Economy,207.0,25.0,1,Mañana,187.72
FL-007469,PNR-252696,2024-06-24,Copa Airlines,Sao Paulo,Miami,Economy,45.0,25.0,0,Tarde,101.88
FL-000662,PNR-125559,2023-06-18,American Airlines,Lima,Santiago,Economy,170.0,5.0,0,Noche,201.77
FL-000826,PNR-864166,2025-06-15,American Airlines,Mexico City,Santiago,Economy,425.0,7.0,1,Noche Tardia,397.3
FL-003443,PNR-675383,2023-10-28,JetSmart,Miami,Santiago,Business,134.0,3.0,2,Noche,653.79
FL-009313,PNR-174069,2025-11-18,American Airlines,Bogota,Sao Paulo,Economy,45.0,15.0,2,Tarde,94.3
FL-000527,PNR-906262,2025-02-10,Avianca,Santiago,Madrid,Economy,284.0,9.0,0,Madrugada,232.78
FL-005026,PNR-349381,2024-10-02,LATAM,Madrid,Buenos Aires,Economy,374.0,1.0,2,Noche,393.91
FL-009834,PNR-750950,2025-11-06,LATAM,Madrid,Buenos Aires,Economy,86.0,20.0,1,Noche Tardia,151.84
FL-014095,PNR-494484,2023-07-14,American Airlines,Madrid,Lima,Economy,216.0,3.0,0,Tarde,261.48
FL-011235,PNR-587235,2023-11-18,Avianca,Buenos Aires,Bogota,Economy,103.0,2.0,1,Madrugada,185.44
FL-004708,PNR-837864,2024-11-03,JetSmart,Mexico City,Miami,Economy,289.0,3.0,1,Mañana,199.23
FL-005768,PNR-268629,2024-10-06,Copa Airlines,Bogota,Miami,Economy,58.0,23.0,0,Noche Tardia,45.0
FL-015417,PNR-305589,2024-10-18,American Airlines,Bogota,Madrid,Premium Economy,363.0,10.0,1,Mañana,455.21
FL-005640,PNR-547335,2025-07-21,Copa Airlines,Sao Paulo,Santiago,Economy,533.0,1.0,0,Madrugada,382.97
FL-007522,PNR-776286,2025-07-22,JetSmart,Buenos Aires,Mexico City,Premium Economy,172.0,37.0,0,Tarde,253.21
FL-019786,PNR-280982,2023-08-27,Iberia,Sao Paulo,Buenos Aires,Business,104.0,7.0,1,Mañana,743.06
FL-001905,PNR-228389,2025-07-13,LATAM,Buenos Aires,Madrid,Economy,321.0,20.0,1,Noche Tardia,271.12
FL-015821,PNR-317111,2023-07-09,Copa Airlines,Sao Paulo,Buenos Aires,Economy,45.0,,2,Noche,45.0
FL-013426,PNR-755135,2025-07-15,JetSmart,Buenos Aires,Santiago,Economy,284.0,9.0,0,Tarde,151.72
FL-000168,PNR-890939,2023-06-28,Copa Airlines,Lima,Miami,Economy,342.0,3.0,0,Madrugada,236.38
FL-011927,PNR-349794,2023-07-21,Avianca,Miami,Buenos Aires,Economy,234.0,1.0,0,Mañana,121.91
FL-000689,PNR-796330,2025-08-19,Iberia,Sao Paulo,Miami,Economy,284.0,42.0,0,Tarde,165.24
FL-000844,PNR-758348,2024-02-13,Avianca,Buenos Aires,Santiago,Business,195.0,16.0,1,Noche,638.28
FL-000175,PNR-727417,2025-01-15,Sky Airline,Mexico City,Sao Paulo,Economy,104.0,45.0,2,Mañana,46.99
FL-014944,PNR-545638,2024-09-03,Sky Airline,Mexico City,Buenos Aires,Premium Economy,382.0,17.0,0,Madrugada,356.57
FL-018496,PNR-652994,2023-11-01,Copa Airlines,Sao Paulo,Miami,Economy,182.0,0.0,1,Tarde,221.98
FL-010556,PNR-634013,2025-04-18,Iberia,Mexico City,Bogota,Premium Economy,275.0,31.0,1,Noche,420.22
FL-004897,PNR-918759,2025-07-29,JetSmart,Buenos Aires,Madrid,Economy,203.0,17.0,0,Madrugada,45.0
FL-017948,PNR-220112,2024-02-27,Sky Airline,Sao Paulo,Lima,Economy,45.0,,1,Noche,101.44
FL-016865,PNR-319043,2025-10-17,LATAM,Sao Paulo,Madrid,Economy,424.0,14.0,1,Noche,346.08
FL-009475,PNR-556864,2024-10-21,American Airlines,Miami,Bogota,Economy,227.0,1.0,0,Noche Tardia,236.61
FL-013360,PNR-634419,2025-12-29,Avianca,Mexico City,Santiago,Economy,131.0,8.0,1,Noche,206.64
FL-008843,PNR-352513,2025-10-24,American Airlines,Sao Paulo,Madrid,Economy,223.0,17.0,0,Noche,158.63
FL-001295,PNR-950748,2024-01-02,Avianca,Miami,Santiago,Business,138.0,8.0,0,Noche Tardia,611.06
FL-004811,PNR-782966,2025-11-22,Copa Airlines,Mexico City,Lima,Economy,284.0,17.0,0,Tarde,197.59
FL-006978,PNR-127194,2025-10-17,Sky Airline,Madrid,Sao Paulo,Economy,230.0,35.0,1,Noche,120.25
FL-014844,PNR-377907,2024-11-14,Iberia,Bogota,Mexico City,Economy,246.0,6.0,0,Noche,241.62
FL-009722,PNR-349916,2025-02-06,Sky Airline,Mexico City,Lima,Premium Economy,407.0,,0,Noche Tardia,387.37
FL-019384,PNR-223918,2023-06-23,Avianca,Santiago,Miami,Business,384.0,8.0,1,Noche,771.71
FL-002032,PNR-599395,2025-12-29,Copa Airlines,Santiago,Madrid,Economy,267.0,5.0,0,Noche Tardia,265.1
FL-008652,PNR-564365,2025-07-17,American Airlines,Bogota,Mexico City,Economy,98.0,14.0,2,Tarde,234.59
FL-012856,PNR-624422,2024-09-06,LATAM,Mexico City,Santiago,Economy,317.0,2.0,2,Noche,260.08
FL-015534,PNR-518217,2025-04-12,LATAM,Lima,Santiago,Economy,45.0,4.0,0,Mañana,142.46
FL-017508,PNR-197429,2023-10-12,JetSmart,Buenos Aires,Santiago,Economy,275.0,47.0,2,Madrugada,72.46
FL-006060,PNR-398842,2025-06-08,Iberia,Miami,Madrid,Economy,333.0,39.0,1,Tarde,248.88
FL-001297,PNR-619705,2025-11-12,Sky Airline,Lima,Buenos Aires,Economy,173.0,3.0,1,Noche,45.0
FL-012643,PNR-587815,2025-10-07,JetSmart,Santiago,Bogota,Premium Economy,267.0,44.0,1,Madrugada,280.24
FL-017121,PNR-476930,2024-10-20,Sky Airline,Sao Paulo,Santiago,Economy,164.0,8.0,0,Mañana,76.77
FL-002394,PNR-799649,2025-11-12,Copa Airlines,Madrid,Miami,Economy,404.0,46.0,2,Tarde,248.82
FL-014841,PNR-656635,2024-10-27,Copa Airlines,Santiago,Mexico City,Economy,88.0,40.0,2,Tarde,128.3
FL-008672,PNR-228352,2023-11-23,American Airlines,Mexico City,Madrid,Economy,91.0,9.0,1,Noche,194.33
FL-012340,PNR-574644,2025-09-12,Sky Airline,Miami,Madrid,Economy,364.0,13.0,0,Madrugada,186.1
FL-008464,PNR-268935,2025-02-09,Iberia,Mexico City,Lima,Economy,181.0,2.0,1,Noche Tardia,289.66
FL-014004,PNR-172213,2025-09-16,Iberia,Miami,Sao Paulo,Economy,357.0,21.0,1,Madrugada,356.17
FL-015593,PNR-108396,2024-01-16,Sky Airline,Sao Paulo,Miami,Economy,315.0,13.0,1,Noche Tardia,184.65
FL-001945,PNR-286134,2024-07-18,Avianca,Sao Paulo,Santiago,Business,228.0,17.0,0,Noche,689.96
FL-016555,PNR-269381,2024-09-16,LATAM,Miami,Bogota,Premium Economy,223.0,11.0,0,Mañana,388.65
FL-000240,PNR-972205,2024-12-05,LATAM,Sao Paulo,Miami,Economy,140.0,8.0,0,Tarde,114.39
FL-017891,PNR-262704,2024-07-12,Avianca,Sao Paulo,Santiago,Business,492.0,6.0,0,Mañana,858.43
FL-005887,PNR-586417,2024-10-18,LATAM,Mexico City,Bogota,Business,105.0,50.0,0,Mañana,611.95
FL-004721,PNR-765059,2025-05-23,LATAM,Miami,Bogota,Economy,91.0,10.0,0,Tarde,181.85
FL-015093,PNR-813280,2025-12-22,Sky Airline,Lima,Santiago,Premium Economy,187.0,16.0,0,Noche Tardia,317.59
FL-019343,PNR-920660,2024-10-13,Sky Airline,Buenos Aires,Lima,Economy,283.0,50.0,1,Mañana,138.13
FL-013104,PNR-625641,2023-06-23,Avianca,Bogota,Sao Paulo,Premium Economy,384.0,3.0,1,Tarde,482.01
FL-001583,PNR-103873,2023-06-26,LATAM,Madrid,Bogota,Economy,109.0,20.0,1,Madrugada,243.89
FL-019651,PNR-154121,2024-06-06,Copa Airlines,Santiago,Lima,Business,434.0,9.0,0,Tarde,879.15
FL-016535,PNR-163597,2025-12-10,JetSmart,Madrid,Buenos Aires,Economy,192.0,,1,Noche,75.68
FL-010976,PNR-939132,2025-04-14,American Airlines,Lima,Madrid,Economy,271.0,6.0,1,Tarde,320.32
FL-004601,PNR-488422,2025-08-14,Sky Airline,Mexico City,Miami,Economy,248.0,13.0,1,Tarde,113.73
FL-011992,PNR-591087,2023-11-13,Avianca,Buenos Aires,Mexico City,Economy,133.0,13.0,2,Madrugada,168.16
FL-001978,PNR-162792,2025-11-13,JetSmart,Buenos Aires,Santiago,Premium Economy,249.0,1.0,1,Noche,289.55
FL-013327,PNR-998252,2025-10-17,American Airlines,Bogota,Santiago,Business,281.0,12.0,0,Mañana,757.88
FL-018214,PNR-717569,2025-03-16,Copa Airlines,Santiago,Madrid,Economy,477.0,18.0,1,Mañana,401.55
FL-015017,PNR-776775,2023-09-19,LATAM,Lima,Sao Paulo,Economy,322.0,2.0,1,Madrugada,254.2
FL-012826,PNR-693096,2024-06-29,Avianca,Sao Paulo,Madrid,Economy,184.0,8.0,2,Noche Tardia,141.16
FL-019616,PNR-595759,2023-09-07,LATAM,Lima,Madrid,Economy,217.0,6.0,0,Noche,188.84
FL-007363,PNR-307489,2024-01-31,Copa Airlines,Sao Paulo,Santiago,Premium Economy,369.0,29.0,2,Madrugada,493.59
FL-011694,PNR-725602,2025-02-05,JetSmart,Buenos Aires,Sao Paulo,Economy,193.0,22.0,0,Noche,91.62
FL-019371,PNR-558533,2025-11-10,Sky Airline,Buenos Aires,Sao Paulo,Economy,,9.0,1,Madrugada,166.98
FL-003858,PNR-702986,2023-08-03,Copa Airlines,Bogota,Lima,Economy,430.0,3.0,0,Madrugada,330.25
FL-002826,PNR-989096,2024-03-29,Avianca,Bogota,Sao Paulo,Economy,259.0,7.0,1,Noche Tardia,222.96
FL-016165,PNR-344175,2024-02-26,Copa Airlines,Lima,Bogota,Economy,406.0,9.0,1,Noche Tardia,326.98
FL-019784,PNR-144681,2024-09-03,American Airlines,Buenos Aires,Miami,Economy,261.0,1.0,1,Noche,287.65
FL-005376,PNR-722474,2025-11-17,Copa Airlines,Mexico City,Madrid,Economy,172.0,6.0,1,Tarde,187.46
FL-015847,PNR-584191,2024-05-02,LATAM,Miami,Santiago,Economy,146.0,,2,Noche,215.0
FL-005797,PNR-792108,2024-02-03,JetSmart,Buenos Aires,Santiago,Economy,45.0,13.0,1,Mañana,52.56
FL-010851,PNR-964827,2025-06-24,LATAM,Madrid,Santiago,Premium Economy,359.0,1.0,0,Noche,431.11
FL-019762,PNR-416444,2024-08-01,Avianca,Madrid,Buenos Aires,Economy,46.0,12.0,1,Noche Tardia,135.19
FL-003260,PNR-423952,2025-07-27,Avianca,Bogota,Buenos Aires,Economy,45.0,1.0,0,Noche Tardia,113.53
FL-012350,PNR-833767,2023-08-21,Avianca,Madrid,Santiago,Economy,291.0,11.0,1,Noche Tardia,181.59
FL-005607,PNR-618377,2025-04-28,Sky Airline,Sao Paulo,Madrid,Economy,313.0,7.0,0,Tarde,149.75
FL-006530,PNR-832095,2025-01-31,Avianca,Mexico City,Madrid,Premium Economy,226.0,15.0,1,Tarde,370.61
FL-006717,PNR-128693,2025-04-25,JetSmart,Madrid,Sao Paulo,Economy,185.0,0.0,0,Madrugada,106.75
FL-011621,PNR-379676,2025-06-16,JetSmart,Mexico City,Miami,Economy,84.0,,2,Noche,45.0
FL-017281,PNR-640482,2025-09-11,Sky Airline,Mexico City,Buenos Aires,Economy,373.0,6.0,0,Noche Tardia,194.42
FL-007966,PNR-781308,2023-08-01,Sky Airline,Sao Paulo,Mexico City,Economy,161.0,1.0,0,Noche,97.1
FL-013271,PNR-203903,2023-07-03,Copa Airlines,Buenos Aires,Lima,Economy,278.0,28.0,1,Tarde,196.66
FL-016737,PNR-961019,2024-04-16,Sky Airline,Madrid,Mexico City,Economy,406.0,,0,Tarde,255.04
FL-004296,PNR-654158,2025-07-20,Copa Airlines,Lima,Mexico City,Economy,239.0,8.0,0,Madrugada,252.99
FL-018187,PNR-270783,2024-12-25,Avianca,Sao Paulo,Bogota,Premium Economy,141.0,4.0,1,Noche,413.38
FL-000744,PNR-234752,2024-05-03,American Airlines,Miami,Madrid,Economy,418.0,3.0,0,Mañana,330.34
FL-019025,PNR-505832,2025-02-28,Copa Airlines,Lima,Madrid,Economy,270.0,0.0,0,Mañana,242.98
FL-014376,PNR-593678,2025-04-07,Iberia,Buenos Aires,Miami,Economy,112.0,3.0,0,Noche Tardia,132.75
FL-008887,PNR-735500,2023-07-03,JetSmart,Sao Paulo,Santiago,Economy,211.0,4.0,0,Madrugada,64.8
FL-003990,PNR-656941,2023-07-20,JetSmart,Bogota,Lima,Economy,317.0,3.0,1,Tarde,168.37
FL-013775,PNR-503445,2025-09-05,American Airlines,Sao Paulo,Bogota,Economy,,4.0,2,Mañana,231.04
FL-014580,PNR-625419,2025-11-14,Copa Airlines,Miami,Mexico City,Economy,224.0,16.0,1,Tarde,164.24
FL-007664,PNR-663491,2024-02-21,Iberia,Madrid,Lima,Economy,378.0,1.0,1,Noche Tardia,325.48
FL-016749,PNR-558255,2025-11-09,Copa Airlines,Sao Paulo,Buenos Aires,Premium Economy,343.0,15.0,2,Madrugada,513.03
FL-006248,PNR-790074,2025-10-26,Copa Airlines,Mexico City,Bogota,Economy,324.0,5.0,2,Mañana,353.74
FL-015819,PNR-661965,2025-08-01,Sky Airline,Madrid,Bogota,Economy,411.0,6.0,2,Mañana,342.94
FL-002019,PNR-833790,2024-05-18,JetSmart,Miami,Bogota,Economy,299.0,12.0,0,Tarde,67.75
FL-009908,PNR-517795,2023-07-11,American Airlines,Santiago,Mexico City,Economy,312.0,10.0,1,Noche Tardia,266.24
FL-008570,PNR-735474,2025-07-17,Copa Airlines,Mexico City,Miami,Economy,413.0,24.0,0,Mañana,280.98
FL-004703,PNR-609409,2025-09-06,Iberia,Bogota,Sao Paulo,Economy,53.0,,1,Madrugada,211.89
FL-015010,PNR-253893,2024-11-18,Copa Airlines,Sao Paulo,Mexico City,Business,114.0,5.0,2,Mañana,727.6
FL-019216,PNR-993843,2023-07-04,LATAM,Mexico City,Buenos Aires,Economy,327.0,0.0,0,Noche,253.73
FL-003920,PNR-381294,2023-11-17,JetSmart,Sao Paulo,Mexico City,Premium Economy,151.0,17.0,1,Tarde,239.53
