block_id,internal_code,record_date,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,ocean_proximity,median_house_value
BLOCK-014327,73791,2023-03-17,1.7968,10.0,2965.0,761.0,2733,661.0,36.65,-123.0,INLAND,87130.0
BLOCK-015957,34778,2021-08-20,2.5943,1.0,5780.0,1705.0,2284,542.0,34.61,-121.61,INLAND,143002.0
BLOCK-005377,56669,2023-11-25,1.5225,17.0,2451.0,570.0,2944,711.0,41.11,-120.95,INLAND,73054.0
BLOCK-007723,17371,2024-10-31,1.9862,26.0,5686.0,1464.0,3314,1134.0,39.27,-122.9,INLAND,81913.0
BLOCK-011266,25312,2024-10-08,1.0076,26.0,821.0,191.0,4904,1565.0,33.63,-114.15,<1H OCEAN,172539.0
BLOCK-013888,86994,2024-06-29,3.2242,6.0,6001.0,942.0,5709,2257.0,32.95,-114.07,<1H OCEAN,255329.0
BLOCK-007199,31272,2024-08-01,7.6934,11.0,5584.0,1069.0,1518,492.0,34.3,-118.7,NEAR OCEAN,420372.0
BLOCK-012346,37467,2020-04-22,1.5518,,5650.0,1662.0,1633,557.0,34.16,-117.22,<1H OCEAN,171676.0
BLOCK-002145,98854,2024-01-08,,32.0,7327.0,1881.0,1584,354.0,39.32,-123.9,<1H OCEAN,244870.0
BLOCK-005380,88521,2023-02-22,3.1552,46.0,6937.0,2043.0,2534,568.0,33.12,-119.99,NEAR OCEAN,254624.0
BLOCK-009997,39361,2024-12-18,1.8473,11.0,6680.0,1421.0,3696,1251.0,41.27,-122.52,<1H OCEAN,164071.0
BLOCK-017458,71933,2022-12-05,,13.0,1868.0,302.0,1903,576.0,40.72,-117.94,<1H OCEAN,163720.0
BLOCK-017932,96680,2021-04-07,2.7482,22.0,7960.0,1658.0,974,247.0,40.45,-119.21,ISLAND,256335.0
BLOCK-018950,47018,2021-07-25,1.9092,46.0,4663.0,961.0,313,84.0,41.05,-115.95,INLAND,90629.0
BLOCK-017677,68737,2022-05-29,4.6409,8.0,3656.0,625.0,1110,286.0,41.0,-122.68,<1H OCEAN,309288.0
BLOCK-017236,57598,2023-04-11,2.5378,8.0,6821.0,1098.0,361,111.0,39.72,-117.15,<1H OCEAN,227416.0
BLOCK-018248,16183,2023-03-27,2.4001,9.0,2789.0,787.0,98,30.0,34.79,-118.1,NEAR BAY,146871.0
BLOCK-019323,87604,2023-03-16,,40.0,7376.0,1393.0,5353,1351.0,38.24,-114.04,<1H OCEAN,178093.0
BLOCK-002519,54475,2024-06-16,3.3487,40.0,3725.0,987.0,2113,584.0,32.5,-117.61,NEAR BAY,158403.0
BLOCK-019647,19219,2020-03-29,1.7545,16.0,5207.0,1323.0,802,272.0,34.32,-121.33,<1H OCEAN,211548.0
BLOCK-001692,21802,2021-01-15,3.0255,41.0,736.0,147.0,3696,1116.0,34.15,-116.86,INLAND,146749.0
BLOCK-006253,47273,2022-11-03,,3.0,7661.0,1956.0,1367,516.0,41.31,-121.14,INLAND,151629.0
BLOCK-015578,14802,2024-03-19,1.755,,4781.0,1049.0,536,179.0,36.87,-115.65,<1H OCEAN,192178.0
BLOCK-019512,63956,2022-07-06,3.5702,41.0,6041.0,964.0,4152,1276.0,35.88,-119.94,<1H OCEAN,261742.0
BLOCK-019377,93135,2022-12-14,3.9338,8.0,5814.0,1012.0,579,153.0,33.73,-120.12,<1H OCEAN,242664.0
BLOCK-004013,32623,2021-02-19,1.4972,9.0,2767.0,552.0,953,225.0,32.9,-124.03,<1H OCEAN,200256.0
BLOCK-007241,51079,2021-05-15,2.4639,42.0,5971.0,,612,194.0,35.38,-114.69,INLAND,122539.0
BLOCK-019569,13124,2022-06-24,0.5,23.0,2839.0,741.0,984,225.0,33.88,-121.48,INLAND,109088.0
BLOCK-017585,65779,2020-02-10,1.3198,46.0,7154.0,1270.0,3107,929.0,37.24,-124.25,NEAR BAY,101592.0
BLOCK-007724,50631,2023-01-16,2.7317,50.0,5381.0,959.0,98,30.0,38.88,-118.64,<1H OCEAN,234525.0
BLOCK-009842,71648,2021-08-07,0.9451,,5896.0,1159.0,4688,1555.0,36.75,-118.66,NEAR BAY,87436.0
BLOCK-015461,39795,2022-04-25,2.0189,25.0,526.0,103.0,4919,1655.0,35.4,-116.18,NEAR OCEAN,218518.0
BLOCK-017191,43826,2021-01-05,1.9479,49.0,6953.0,1814.0,2817,1010.0,40.4,-116.7,INLAND,49543.0
BLOCK-012247,93589,2021-10-31,4.6931,5.0,6859.0,1678.0,2603,592.0,35.04,-116.79,INLAND,190855.0
BLOCK-019717,45902,2023-06-03,1.1841,44.0,2170.0,489.0,5601,1790.0,33.0,-120.54,INLAND,79894.0
BLOCK-016124,68263,2020-03-09,3.1739,51.0,6573.0,1571.0,2830,1009.0,39.58,-120.13,<1H OCEAN,240370.0
BLOCK-008369,12124,2023-09-28,1.7844,41.0,6220.0,938.0,4057,1122.0,39.24,-120.88,INLAND,120507.0
BLOCK-012631,27213,2022-04-08,2.729,15.0,6318.0,950.0,5141,1626.0,36.48,-115.58,INLAND,144390.0
BLOCK-019629,31808,2020-07-09,4.3159,24.0,1693.0,464.0,52,15.0,34.16,-121.34,INLAND,217279.0
BLOCK-007113,61467,2022-06-17,1.5644,10.0,2454.0,,2796,783.0,41.61,-121.95,<1H OCEAN,178371.0
BLOCK-015880,54777,2024-08-30,3.0163,6.0,2567.0,669.0,5667,2072.0,33.37,-114.48,<1H OCEAN,255282.0
BLOCK-001443,81326,2024-12-27,1.6268,9.0,812.0,130.0,5375,1204.0,33.22,-123.03,NEAR BAY,60562.0
BLOCK-008203,42810,2023-08-23,3.0168,45.0,3106.0,927.0,3756,1434.0,34.35,-119.54,INLAND,136518.0
BLOCK-019961,37590,2022-09-10,3.2078,12.0,873.0,231.0,2031,676.0,39.28,-118.66,<1H OCEAN,304916.0
BLOCK-014538,90229,2023-03-05,1.8519,7.0,7274.0,2133.0,5270,1877.0,35.31,-115.4,INLAND,110896.0
BLOCK-001052,49894,2020-02-14,1.6641,4.0,2935.0,820.0,1154,322.0,39.11,-123.91,<1H OCEAN,158430.0
BLOCK-010532,91149,2022-09-17,3.7011,,7184.0,1708.0,4392,1167.0,40.47,-122.87,INLAND,158035.0
BLOCK-017747,99917,2022-08-14,2.6916,46.0,2831.0,734.0,1744,441.0,39.53,-118.33,NEAR OCEAN,182840.0
BLOCK-016872,75971,2022-02-22,1.8426,21.0,4851.0,823.0,207,63.0,37.81,-122.0,NEAR OCEAN,183120.0
BLOCK-012120,27482,2021-01-12,2.548,51.0,1998.0,487.0,5546,1318.0,36.55,-121.55,<1H OCEAN,215231.0
BLOCK-014012,51150,2024-06-01,7.0453,7.0,4784.0,1030.0,1253,295.0,39.93,-123.28,INLAND,285728.0
BLOCK-002641,27296,2024-05-16,2.0648,36.0,7958.0,2281.0,5470,1517.0,36.93,-114.17,INLAND,123132.0
BLOCK-011578,36720,2021-03-15,3.0738,37.0,584.0,120.0,4584,1345.0,33.75,-115.09,<1H OCEAN,211692.0
BLOCK-013085,60553,2021-09-06,5.2006,,3690.0,1042.0,1752,627.0,40.29,-114.88,INLAND,234146.0
BLOCK-000218,36935,2023-01-18,1.7928,22.0,2905.0,536.0,2906,1001.0,33.55,-123.11,NEAR OCEAN,140075.0
BLOCK-007110,25135,2022-01-13,1.8006,10.0,1684.0,417.0,5644,1548.0,35.47,-117.35,INLAND,110638.0
BLOCK-017657,38617,2020-08-17,2.322,,5264.0,1192.0,853,253.0,34.66,-123.37,<1H OCEAN,238826.0
BLOCK-009248,76499,2021-08-23,5.2943,10.0,6589.0,1894.0,1236,354.0,40.11,-122.07,<1H OCEAN,344929.0
BLOCK-005306,38480,2024-07-30,2.1732,2.0,4564.0,1018.0,2796,775.0,32.87,-114.97,INLAND,150879.0
BLOCK-005786,37275,2022-11-06,3.7422,,4074.0,622.0,3132,1061.0,37.54,-122.95,NEAR BAY,172131.0
BLOCK-007897,27149,2024-08-03,2.3914,18.0,4612.0,770.0,4040,1306.0,41.26,-121.26,NEAR OCEAN,191609.0
BLOCK-003394,38007,2024-11-18,0.8518,12.0,2722.0,,3415,1025.0,37.63,-118.39,<1H OCEAN,215118.0
BLOCK-018764,32637,2022-09-21,3.8984,11.0,5462.0,841.0,2966,890.0,38.77,-119.16,<1H OCEAN,258110.0
BLOCK-000606,13273,2023-11-21,4.8532,16.0,2079.0,468.0,374,131.0,41.02,-116.13,INLAND,178547.0
BLOCK-011286,10535,2024-02-08,1.3752,32.0,6096.0,1535.0,3911,1209.0,40.02,-118.23,<1H OCEAN,179636.0
BLOCK-004285,75415,2024-06-12,,10.0,4409.0,1098.0,539,149.0,40.2,-124.44,NEAR OCEAN,208840.0
BLOCK-008049,98687,2023-05-22,3.5262,4.0,453.0,100.0,1162,350.0,41.22,-122.65,<1H OCEAN,273218.0
BLOCK-016660,11310,2020-11-14,2.7644,13.0,5397.0,1379.0,2504,826.0,39.99,-119.49,<1H OCEAN,237651.0
BLOCK-018490,50996,2024-09-30,2.3914,30.0,5511.0,1417.0,5287,1245.0,38.7,-116.49,INLAND,150057.0
BLOCK-007665,36682,2021-11-11,1.4206,9.0,2478.0,617.0,1189,297.0,34.05,-119.32,NEAR BAY,102157.0
BLOCK-003429,50987,2023-11-26,2.5696,45.0,1379.0,414.0,2258,503.0,35.85,-116.41,NEAR OCEAN,197045.0
BLOCK-004720,37284,2023-08-04,0.6717,48.0,191.0,41.0,1979,561.0,39.1,-116.79,INLAND,81860.0
BLOCK-016906,43675,2022-12-26,2.3431,51.0,3755.0,698.0,2154,656.0,33.49,-121.77,INLAND,107239.0
BLOCK-018508,32359,2020-06-13,1.6402,4.0,1607.0,309.0,3118,900.0,39.51,-122.7,NEAR BAY,80706.0
BLOCK-008845,51042,2020-07-13,1.3955,45.0,6415.0,1843.0,1265,316.0,38.32,-115.8,<1H OCEAN,142112.0
BLOCK-018647,11078,2022-04-15,4.0431,34.0,6459.0,,2640,748.0,41.95,-120.76,<1H OCEAN,232335.0
BLOCK-018673,51646,2023-07-03,3.1009,19.0,4002.0,863.0,1266,291.0,36.08,-121.1,NEAR OCEAN,216925.0
BLOCK-000993,24802,2024-03-26,13.4051,14.0,6105.0,1170.0,733,177.0,32.66,-123.5,INLAND,500000.0
BLOCK-003024,52568,2022-03-09,1.9946,19.0,492.0,77.0,1105,372.0,40.25,-118.46,<1H OCEAN,239215.0
BLOCK-008915,94031,2023-07-24,3.0933,45.0,6805.0,1459.0,2891,920.0,38.06,-122.09,NEAR OCEAN,246735.0
BLOCK-004072,99318,2023-08-18,2.8102,20.0,656.0,117.0,2918,1019.0,35.48,-114.77,<1H OCEAN,249589.0
BLOCK-011856,27790,2023-03-09,7.519,51.0,2226.0,424.0,986,334.0,37.61,-119.4,INLAND,287304.0
BLOCK-013068,44332,2023-09-28,3.2416,35.0,5630.0,1297.0,5884,1618.0,39.13,-117.87,INLAND,113119.0
BLOCK-003222,29801,2023-01-17,2.7109,30.0,3382.0,864.0,4431,1540.0,33.27,-117.76,<1H OCEAN,234364.0
BLOCK-004822,62625,2022-04-27,5.2228,51.0,4669.0,875.0,5327,2094.0,35.13,-120.63,INLAND,215258.0
BLOCK-003846,24070,2024-03-15,3.8866,2.0,4520.0,1210.0,4195,1222.0,38.08,-115.57,<1H OCEAN,310831.0
BLOCK-003100,83561,2024-05-22,1.8162,26.0,531.0,104.0,5948,1628.0,37.77,-114.69,<1H OCEAN,197761.0
BLOCK-006613,14694,2021-09-02,3.7474,45.0,6623.0,1796.0,4729,1658.0,33.22,-121.97,ISLAND,311962.0
BLOCK-018358,46230,2023-02-13,3.7556,3.0,2044.0,455.0,1708,676.0,39.6,-121.35,<1H OCEAN,269088.0
BLOCK-007534,75252,2021-06-20,2.0483,4.0,2739.0,,5490,1834.0,32.88,-119.63,NEAR BAY,163693.0
BLOCK-009893,40712,2024-06-22,1.0579,32.0,7150.0,2085.0,3882,1250.0,36.36,-120.69,<1H OCEAN,154772.0
BLOCK-003964,18252,2022-12-03,2.8316,1.0,7524.0,2150.0,5474,1570.0,36.7,-123.1,NEAR OCEAN,198141.0
BLOCK-000828,75708,2023-06-21,2.5518,32.0,6594.0,1666.0,4550,1257.0,34.87,-124.28,<1H OCEAN,230179.0
BLOCK-018018,19653,2022-12-27,4.2024,32.0,2354.0,450.0,2364,551.0,40.82,-120.94,INLAND,255351.0
BLOCK-010590,13362,2020-12-25,3.1194,43.0,4433.0,1218.0,2090,752.0,40.97,-115.81,INLAND,176195.0
BLOCK-000447,89580,2020-02-26,2.1763,5.0,4078.0,954.0,4670,1212.0,34.17,-115.36,NEAR BAY,136483.0
BLOCK-006405,44671,2023-05-21,3.9559,34.0,3377.0,706.0,4781,1190.0,35.91,-119.11,<1H OCEAN,256526.0
BLOCK-003752,96786,2020-09-11,3.3412,49.0,3020.0,650.0,1696,574.0,38.14,-118.91,INLAND,138995.0
BLOCK-002312,51084,2024-07-10,2.5969,45.0,3782.0,990.0,1917,716.0,38.07,-115.1,<1H OCEAN,241805.0
BLOCK-009016,56952,2024-03-18,3.7757,34.0,4003.0,886.0,4273,1122.0,39.39,-117.46,INLAND,188589.0
BLOCK-016128,37949,2023-07-27,4.0293,26.0,5705.0,1699.0,5280,1845.0,35.67,-118.5,<1H OCEAN,233606.0
BLOCK-007826,65638,2022-10-04,3.1543,39.0,3283.0,982.0,926,207.0,37.06,-120.21,<1H OCEAN,195023.0
BLOCK-016827,54094,2023-03-29,1.1447,12.0,6118.0,,1425,356.0,41.24,-116.93,NEAR OCEAN,128493.0
BLOCK-010054,36102,2024-08-29,1.5405,22.0,3728.0,703.0,4710,1804.0,41.61,-121.52,NEAR OCEAN,141303.0
BLOCK-016613,39228,2023-11-16,1.3315,45.0,3790.0,614.0,2623,973.0,38.93,-122.15,INLAND,65488.0
BLOCK-002232,14470,2021-04-08,2.1699,23.0,4383.0,682.0,5678,1949.0,39.21,-122.53,INLAND,184956.0
BLOCK-008379,82992,2020-08-22,2.3396,44.0,1193.0,186.0,5338,1668.0,33.33,-119.55,<1H OCEAN,221593.0
BLOCK-017825,44890,2024-07-01,2.239,48.0,4793.0,1421.0,3731,1058.0,40.53,-115.31,<1H OCEAN,160286.0
BLOCK-013855,14148,2023-11-12,2.0619,6.0,3272.0,624.0,2227,763.0,41.55,-116.39,<1H OCEAN,194401.0
BLOCK-002026,19913,2021-02-09,2.6858,44.0,7943.0,2252.0,5859,1418.0,34.25,-120.99,INLAND,153431.0
BLOCK-003894,77217,2020-01-14,4.2076,3.0,7531.0,1716.0,4155,963.0,34.67,-121.86,NEAR OCEAN,224705.0
BLOCK-013914,60209,2020-06-01,1.1353,26.0,2770.0,775.0,3855,885.0,38.76,-123.88,<1H OCEAN,160472.0
BLOCK-002783,94577,2020-08-06,3.2219,51.0,6916.0,1784.0,3477,957.0,35.29,-115.83,<1H OCEAN,203086.0
BLOCK-013402,71289,2024-08-17,3.0988,24.0,5870.0,1236.0,4175,1087.0,36.94,-124.15,INLAND,164381.0
BLOCK-018366,78975,2022-11-14,2.3687,39.0,4941.0,1174.0,4068,1247.0,38.59,-121.85,<1H OCEAN,199311.0
BLOCK-013143,18257,2024-11-28,2.1845,20.0,6841.0,1807.0,1583,454.0,34.43,-120.32,INLAND,82607.0
BLOCK-007791,96047,2020-04-15,2.9808,41.0,1361.0,312.0,1306,406.0,35.62,-122.76,NEAR BAY,118864.0
BLOCK-013173,52941,2020-02-27,1.5201,36.0,7280.0,2027.0,5665,2072.0,34.72,-116.13,<1H OCEAN,111124.0
BLOCK-019368,64241,2022-02-09,1.8556,33.0,6786.0,1660.0,4551,1366.0,36.94,-122.08,INLAND,87179.0
BLOCK-014578,45513,2021-02-22,1.8869,47.0,4699.0,1359.0,4756,1511.0,38.61,-123.39,<1H OCEAN,194700.0
BLOCK-017067,36235,2021-10-27,1.7154,21.0,151.0,43.0,3501,932.0,36.38,-117.45,<1H OCEAN,223697.0
BLOCK-014691,52432,2021-06-15,1.644,22.0,6745.0,1580.0,1096,434.0,36.14,-119.03,<1H OCEAN,178147.0
BLOCK-007020,29814,2022-08-03,3.1214,9.0,844.0,157.0,1910,472.0,37.13,-120.06,INLAND,197685.0
BLOCK-002935,35264,2024-11-24,3.8133,43.0,1116.0,262.0,2236,565.0,38.8,-118.02,NEAR OCEAN,196221.0
BLOCK-016705,73833,2022-01-14,2.8849,46.0,4893.0,1312.0,4729,1130.0,35.62,-120.45,INLAND,138323.0
BLOCK-017871,66103,2021-11-04,3.1669,42.0,482.0,89.0,893,335.0,35.61,-120.66,<1H OCEAN,244164.0
BLOCK-014001,12685,2023-10-18,2.5614,26.0,5326.0,1291.0,2771,966.0,34.53,-115.02,<1H OCEAN,228334.0
BLOCK-001535,41483,2021-06-30,3.8129,28.0,3788.0,920.0,423,114.0,32.77,-121.74,INLAND,151404.0
BLOCK-004404,66709,2022-10-27,1.4891,38.0,265.0,77.0,2894,889.0,34.11,-114.48,NEAR BAY,143598.0
