diamond_id,supplier_code,certified_date,carat,cut,color,clarity,depth,table,x_dim,y_dim,z_dim,price
DIA-004527,SUP-140,2024-11-16,1.56,Fair,F,SI1,61.5,62.1,6.08,6.07,3.79,8136
DIA-014770,SUP-064,2022-01-24,0.78,Premium,H,VVS1,62.6,59.7,4.43,4.35,2.68,4766
DIA-001788,SUP-041,2022-04-24,1.24,Very Good,J,VVS1,62.5,61.2,5.25,5.23,3.26,7998
DIA-019356,SUP-186,2022-03-02,0.49,Premium,G,SI1,61.6,57.1,3.88,3.8,2.34,1322
DIA-013524,SUP-113,2024-10-07,0.33,Ideal,G,VVS1,62.0,56.3,3.75,3.81,2.39,1193
DIA-001427,SUP-149,2022-11-09,1.67,Very Good,I,SI1,60.9,54.7,5.73,5.73,3.63,9319
DIA-016257,SUP-189,2020-03-01,0.59,Ideal,I,SI1,59.2,57.2,4.13,4.12,2.44,2023
DIA-019911,SUP-029,2021-12-10,0.56,Premium,G,SI1,60.3,57.7,4.45,4.47,2.79,1936
DIA-017866,SUP-151,2022-05-08,1.31,Good,I,VS2,59.6,54.0,5.3,5.25,3.18,5938
DIA-016696,SUP-016,2024-11-07,0.31,Ideal,I,VS2,61.3,58.8,3.05,3.1,1.92,519
DIA-008142,SUP-140,2024-08-01,0.79,Very Good,H,SI1,61.0,51.7,4.33,4.37,2.69,2469
DIA-011605,SUP-029,2021-03-27,0.7,Premium,I,SI2,61.3,55.9,4.62,4.62,2.92,1750
DIA-001456,SUP-136,2022-05-30,1.02,Fair,I,VS2,61.9,56.0,5.0,4.98,3.09,2785
DIA-006916,SUP-186,2020-12-23,0.72,Fair,F,VS2,61.7,,4.58,4.64,2.92,2521
DIA-007934,SUP-019,2023-06-23,0.52,Ideal,G,VS1,62.1,56.0,4.07,4.05,2.51,2358
DIA-017533,SUP-025,2024-05-17,0.3,Very Good,G,VS2,60.9,56.0,3.38,3.38,2.1,970
DIA-011498,SUP-050,2021-07-04,1.32,Ideal,H,SI2,64.6,,5.06,5.06,3.18,7472
DIA-018553,SUP-099,2021-01-07,0.72,Ideal,F,VVS2,62.3,56.9,4.11,4.16,2.49,4811
DIA-000034,SUP-120,2024-03-10,1.27,Very Good,H,VS1,62.2,57.7,5.56,5.5,3.38,8596
DIA-003171,SUP-178,2020-11-24,0.63,Premium,J,VS2,63.0,57.8,3.96,3.95,2.42,1817
DIA-014514,SUP-134,2022-06-29,0.89,Very Good,E,SI1,62.4,58.9,4.9,4.88,3.03,4375
DIA-001350,SUP-160,2022-08-27,0.5,Ideal,F,SI1,64.0,55.8,4.01,,2.49,1979
DIA-013202,SUP-107,2020-11-30,1.12,Ideal,D,SI1,63.6,59.8,5.3,5.33,3.18,8832
DIA-011401,SUP-174,2021-08-09,0.43,Very Good,F,VS2,60.1,56.7,3.85,3.8,2.35,924
DIA-016231,SUP-022,2023-01-05,0.68,Ideal,H,SI1,63.9,55.0,4.24,4.36,2.53,2350
DIA-006438,SUP-043,2023-07-18,0.63,Very Good,E,SI1,59.7,59.5,4.37,4.37,2.69,2736
DIA-002703,SUP-053,2022-05-17,0.59,Fair,G,VS1,61.3,54.1,4.17,4.14,2.54,1385
DIA-004387,SUP-165,2024-05-07,0.53,Ideal,I,VVS2,61.8,56.0,4.21,4.24,2.57,2288
DIA-006544,SUP-105,2023-07-23,2.05,Fair,E,VS2,62.8,60.4,6.31,6.3,3.88,16979
DIA-013439,SUP-004,2023-05-13,0.38,Very Good,F,IF,61.0,60.3,3.65,3.68,2.24,1652
DIA-001087,SUP-172,2020-07-17,0.87,Premium,J,VVS1,61.9,58.2,4.83,4.84,2.99,4910
DIA-017895,SUP-172,2022-11-26,0.56,Very Good,F,SI1,62.2,55.8,4.03,4.02,2.61,1928
DIA-000119,SUP-033,2022-11-02,0.53,Premium,I,SI1,61.7,56.5,3.7,3.73,2.31,1306
DIA-001402,SUP-031,2024-11-01,1.08,Ideal,J,SI2,62.5,59.8,5.15,5.25,3.15,4042
DIA-010764,SUP-103,2020-11-26,0.23,Premium,H,IF,63.5,,2.99,3.0,1.87,797
DIA-016358,SUP-020,2024-11-12,0.77,Premium,J,VVS2,62.0,55.7,4.62,,2.85,3146
DIA-005908,SUP-066,2022-02-03,1.21,Very Good,F,VVS2,61.0,56.7,5.24,5.24,3.29,10696
DIA-009201,SUP-101,2020-09-16,0.68,Good,H,VVS1,60.4,55.5,4.75,4.67,2.95,2816
DIA-005992,SUP-144,2021-03-27,0.37,Very Good,F,VVS1,63.1,53.2,3.9,3.9,2.44,1365
DIA-009881,SUP-098,2023-10-31,1.49,Premium,I,VS1,63.6,53.7,5.71,5.74,3.54,11095
DIA-012387,SUP-085,2021-11-03,0.93,Very Good,H,SI1,58.0,57.3,4.8,4.71,3.0,3980
DIA-014378,SUP-101,2023-03-18,1.16,Very Good,E,VS1,60.8,56.5,5.6,5.64,3.42,9767
DIA-003479,SUP-028,2020-06-28,0.67,Ideal,G,SI2,62.8,56.7,3.74,3.74,2.35,2354
DIA-002250,SUP-083,2024-03-20,1.35,Ideal,I,VS2,60.8,57.9,5.66,5.62,3.5,9000
DIA-010279,SUP-007,2020-10-13,0.63,Premium,J,SI2,62.8,61.7,4.17,4.14,2.71,950
DIA-018852,SUP-034,2023-08-13,0.5,Premium,F,SI1,59.6,,3.84,3.8,2.35,1617
DIA-008757,SUP-144,2021-05-21,0.62,Ideal,I,VS1,62.4,56.1,3.87,3.86,2.38,2603
DIA-009159,SUP-105,2023-03-06,0.61,Ideal,F,VVS2,61.1,55.3,4.48,4.51,2.81,3248
DIA-019860,SUP-007,2022-07-12,1.05,Fair,F,SI1,62.6,53.5,5.28,5.23,3.26,3679
DIA-017831,SUP-107,2020-03-19,0.37,Ideal,F,VVS2,62.9,54.3,3.79,3.85,2.38,1473
DIA-010454,SUP-106,2023-10-12,0.65,Very Good,F,VS2,65.5,53.9,4.35,4.31,2.67,2403
DIA-015792,SUP-016,2021-10-07,0.56,Very Good,F,VS2,62.3,63.1,4.13,4.1,2.55,2167
DIA-015579,SUP-180,2021-06-22,0.61,Ideal,H,VVS1,62.1,59.4,4.43,4.45,2.76,3485
DIA-002171,SUP-119,2024-07-04,0.82,Premium,G,SI1,64.3,56.4,4.39,4.41,2.74,3566
DIA-002480,SUP-136,2023-02-02,1.13,Very Good,I,VS2,62.1,57.3,5.13,5.11,3.19,5433
DIA-010676,SUP-048,2023-03-12,0.47,Very Good,J,VVS2,63.8,55.9,3.84,3.91,2.38,1225
DIA-000738,SUP-038,2023-08-22,0.64,Premium,H,VS1,63.5,53.4,4.37,4.45,2.72,2683
DIA-011006,SUP-127,2020-05-15,0.44,Premium,I,SI1,64.3,,4.13,4.19,2.5,928
DIA-006760,SUP-077,2020-09-28,0.73,Ideal,J,VS2,62.6,60.0,4.47,4.42,2.69,3368
DIA-012490,SUP-138,2024-12-24,1.02,Very Good,E,IF,61.8,55.0,5.1,5.18,3.2,11345
DIA-006778,SUP-115,2021-04-29,0.51,Very Good,G,SI2,58.8,56.0,3.77,3.74,2.25,1212
DIA-007839,SUP-129,2020-02-10,0.37,Ideal,F,SI2,62.4,55.5,3.65,3.63,2.23,823
DIA-014020,SUP-194,2020-05-31,1.04,Premium,J,VS2,63.3,,5.33,5.35,3.29,4671
DIA-018646,SUP-174,2021-07-16,1.69,Ideal,H,SI1,59.8,60.2,6.29,6.32,3.93,12738
DIA-017799,SUP-035,2021-09-20,0.72,Ideal,J,SI1,60.8,58.3,4.5,4.54,2.84,1926
DIA-008486,SUP-146,2021-04-08,0.96,Ideal,J,VS1,61.3,54.2,5.32,5.38,3.34,4583
DIA-019171,SUP-045,2024-04-05,1.93,Ideal,F,VS2,61.5,59.3,5.87,5.87,3.64,23667
DIA-000451,SUP-127,2024-05-02,0.63,Very Good,F,VS1,63.9,55.4,4.09,4.09,2.62,3037
DIA-011571,SUP-123,2020-08-03,0.54,Premium,E,VS2,62.1,57.0,3.93,4.04,2.47,2269
DIA-019178,SUP-103,2020-06-29,0.8,Ideal,J,SI1,59.8,60.8,4.58,4.48,2.86,2568
DIA-002751,SUP-134,2023-09-15,1.57,Ideal,F,VS2,63.7,58.2,6.19,,3.77,16471
DIA-016301,SUP-172,2020-11-19,0.83,Ideal,H,SI2,60.4,56.3,4.66,4.58,2.87,3078
DIA-008886,SUP-173,2021-05-16,0.83,Good,E,SI2,63.1,56.6,5.14,5.16,3.06,2821
DIA-016485,SUP-037,2024-01-09,1.14,Ideal,F,VS1,60.7,55.8,5.56,5.58,3.49,10305
DIA-004999,SUP-175,2022-10-16,0.37,Very Good,F,VS2,63.0,57.0,3.66,3.71,2.37,932
DIA-017843,SUP-098,2024-12-07,0.34,Ideal,E,VVS2,61.5,54.5,3.21,3.18,1.98,873
DIA-003844,SUP-110,2023-06-04,0.46,Premium,I,SI2,61.7,53.9,3.84,3.86,2.37,797
DIA-010958,SUP-040,2024-05-25,0.47,Ideal,H,VS2,63.3,54.3,3.98,3.97,2.45,1232
DIA-017356,SUP-116,2022-06-08,0.28,Very Good,G,VVS2,60.4,58.2,3.01,2.97,1.84,820
DIA-010389,SUP-126,2024-12-10,0.76,Premium,F,VS2,61.8,51.6,4.28,4.34,2.68,3828
DIA-015548,SUP-134,2024-06-03,0.84,Ideal,F,VS2,62.2,59.6,4.84,4.77,3.0,5418
DIA-006062,SUP-051,2023-05-16,0.54,Good,E,VS2,61.8,56.9,4.22,4.18,2.58,1923
DIA-001768,SUP-099,2023-04-17,1.65,Very Good,G,VS1,62.2,58.5,6.1,6.05,3.7,14869
DIA-003277,SUP-023,2023-01-30,0.91,Ideal,G,VS2,61.4,57.8,4.79,4.76,2.97,5637
DIA-014510,SUP-086,2022-05-01,0.74,Premium,G,SI2,60.7,53.7,4.59,4.66,2.87,2805
DIA-014796,SUP-131,2020-09-19,1.28,Good,H,SI2,62.7,53.8,5.62,5.59,3.5,5014
DIA-001994,SUP-102,2022-12-16,0.63,Very Good,G,VS2,62.0,58.6,4.66,4.66,2.98,2775
DIA-018274,SUP-199,2024-10-25,2.09,Very Good,F,SI2,62.1,57.1,6.29,6.36,3.91,16771
DIA-001201,SUP-148,2024-11-23,0.46,Fair,H,SI1,61.7,54.9,3.93,3.91,2.44,885
DIA-010155,SUP-062,2020-12-22,0.61,Very Good,H,VVS1,61.0,63.9,4.2,4.24,2.64,2751
DIA-011786,SUP-053,2022-06-30,0.35,Premium,H,SI1,61.8,56.7,3.54,3.58,2.13,876
DIA-006557,SUP-187,2022-12-30,0.95,Fair,G,SI1,63.1,53.2,4.8,4.8,3.02,3215
DIA-019627,SUP-019,2022-08-21,0.62,Ideal,E,VS2,62.3,54.2,4.05,4.01,2.55,3296
DIA-005031,SUP-001,2023-11-23,0.61,Ideal,F,VS2,63.1,58.4,3.81,3.86,2.4,2441
DIA-018302,SUP-093,2020-10-10,0.46,Ideal,J,VS2,61.0,,3.74,3.79,2.31,1239
DIA-019067,SUP-060,2020-05-06,0.38,Very Good,G,VS2,59.8,52.9,3.65,3.69,2.31,978
DIA-009801,SUP-191,2022-10-27,0.94,Ideal,F,SI1,61.2,,4.68,4.73,2.91,5403
DIA-005846,SUP-058,2020-12-17,0.86,Ideal,J,SI1,62.6,60.2,4.73,4.72,2.91,3103
DIA-007841,SUP-198,2022-11-07,0.28,Premium,G,SI1,60.9,53.5,3.15,3.17,1.99,487
DIA-015273,SUP-194,2020-10-16,1.78,Fair,I,SI1,61.8,59.7,5.94,5.93,3.58,7486
DIA-011947,SUP-088,2021-04-20,0.52,Good,H,SI1,64.8,55.9,4.04,3.98,2.51,1145
DIA-000474,SUP-120,2024-12-09,0.87,Ideal,J,SI2,64.5,60.6,5.1,5.12,3.1,2796
DIA-008373,SUP-113,2024-09-03,0.53,Premium,G,SI2,61.6,52.7,4.01,4.07,2.52,1009
DIA-009800,SUP-164,2024-05-04,1.33,Ideal,H,VS2,58.0,60.0,5.21,5.19,3.23,9877
DIA-000928,SUP-008,2023-02-03,0.67,Premium,G,VS2,56.9,57.9,4.59,4.58,2.84,2777
DIA-000447,SUP-022,2020-04-15,0.92,Premium,E,SI1,61.8,60.3,4.84,4.84,3.07,5359
DIA-009876,SUP-027,2022-02-23,0.67,Good,H,VS1,62.7,55.7,4.61,4.55,2.84,2222
DIA-007808,SUP-195,2021-08-15,0.56,Fair,I,VVS2,60.7,59.6,4.19,4.19,2.61,1537
DIA-018885,SUP-061,2022-03-27,1.01,Premium,I,VS2,60.2,58.7,5.02,4.98,3.04,4534
DIA-012908,SUP-052,2023-10-05,0.72,Very Good,I,VS2,61.9,59.2,4.59,,2.94,2381
DIA-007212,SUP-138,2022-05-23,0.77,Very Good,H,VS2,60.0,53.6,4.79,4.75,2.98,3332
DIA-016213,SUP-057,2022-01-15,0.73,Premium,J,VS2,62.6,58.3,4.54,4.53,2.83,2228
DIA-014302,SUP-047,2023-05-03,1.01,Premium,G,VVS1,64.1,56.0,5.06,5.04,3.13,8934
DIA-007197,SUP-166,2024-06-09,0.43,Good,F,VS1,62.7,55.0,3.56,3.64,2.28,874
DIA-014620,SUP-026,2024-10-11,0.6,Very Good,F,I1,62.2,59.7,4.12,4.14,2.6,1440
DIA-007958,SUP-102,2023-08-16,1.51,Premium,G,VS1,60.2,56.0,5.51,5.52,3.32,13634
DIA-009962,SUP-063,2023-06-12,1.13,Very Good,E,VS2,62.6,57.1,5.0,5.02,3.03,8396
DIA-010223,SUP-171,2022-03-17,0.74,Good,I,VVS2,60.1,60.3,4.53,4.59,2.87,2509
DIA-014746,SUP-172,2020-02-21,0.69,Very Good,H,VS1,62.6,56.1,4.67,4.75,2.81,2700
DIA-019253,SUP-024,2022-04-19,0.93,Premium,I,VS2,,52.8,4.92,4.86,3.0,4463
DIA-000971,SUP-057,2022-08-01,0.32,Good,F,VS1,63.2,57.2,3.29,3.31,2.02,757
DIA-011090,SUP-192,2024-03-22,1.18,Ideal,F,VVS1,61.5,56.6,5.2,5.18,3.15,13844
DIA-015403,SUP-138,2020-02-06,0.99,Fair,F,VS2,60.3,56.0,5.09,5.11,3.12,4348
DIA-007811,SUP-047,2024-07-29,0.6,Premium,E,SI1,60.4,55.2,4.08,4.06,2.54,2137
DIA-004068,SUP-064,2024-10-28,1.4,Premium,I,SI1,64.0,60.0,6.08,6.03,3.8,7711
DIA-003733,SUP-018,2022-07-13,1.36,Very Good,E,VS2,60.0,54.2,5.76,5.77,3.52,11206
DIA-010312,SUP-162,2024-09-24,0.59,Very Good,H,SI1,62.0,57.7,4.11,4.07,2.5,1714
DIA-000812,SUP-078,2024-08-14,0.4,Very Good,G,VS2,63.4,52.3,4.14,4.1,2.56,1109
DIA-014206,SUP-030,2023-01-17,0.53,Very Good,J,SI1,61.5,51.5,4.15,4.28,2.56,739
DIA-009820,SUP-070,2023-12-27,1.62,Ideal,J,VS2,61.9,54.7,6.16,,3.78,10997
DIA-009509,SUP-006,2022-12-03,0.8,Very Good,F,SI2,61.5,55.2,4.81,4.83,3.07,2853
DIA-003702,SUP-024,2024-05-18,1.08,Ideal,F,VVS2,62.5,57.7,5.18,5.12,3.2,10429
DIA-004525,SUP-135,2021-05-07,0.74,Very Good,I,VS2,59.5,60.3,4.76,4.72,2.93,2468
DIA-003488,SUP-171,2021-01-19,0.61,Fair,J,SI1,62.9,,4.39,4.4,2.76,1071
DIA-018235,SUP-108,2024-03-16,0.51,Premium,I,SI1,61.5,58.4,3.65,3.69,2.29,1417
DIA-004739,SUP-073,2020-01-30,0.87,Ideal,G,SI1,61.5,58.3,4.6,4.65,2.89,4554
DIA-017592,SUP-170,2022-04-13,0.47,Ideal,E,VS1,64.1,56.0,3.89,3.9,2.37,2078
DIA-012824,SUP-064,2020-05-05,0.39,Very Good,H,SI2,60.4,58.8,3.46,3.42,2.12,707
DIA-018917,SUP-103,2021-02-13,0.56,Ideal,F,VVS2,60.7,56.6,4.28,4.32,2.6,2997
DIA-000351,SUP-109,2021-06-08,1.37,Premium,G,VVS2,60.8,53.4,5.68,5.65,3.47,13452
DIA-003302,SUP-002,2020-01-05,0.46,Ideal,I,VS1,61.7,58.0,3.58,3.62,2.3,1725
DIA-016313,SUP-189,2022-03-26,0.94,Very Good,I,SI2,63.7,58.2,4.95,4.96,3.05,3232
DIA-018430,SUP-003,2020-11-19,0.43,Very Good,F,VS2,63.0,52.2,4.21,4.28,2.62,1171
DIA-018156,SUP-058,2023-11-08,0.3,Premium,H,SI2,58.9,54.7,3.59,3.55,2.26,439
DIA-010069,SUP-096,2023-11-07,0.46,Premium,H,VS2,62.3,54.7,3.48,3.37,2.13,1456
DIA-007070,SUP-132,2022-04-26,0.49,Good,E,VS2,65.7,56.0,3.87,3.81,2.31,1105
DIA-018315,SUP-198,2024-05-04,0.31,Ideal,G,VS1,63.2,56.9,3.23,3.22,2.03,696
DIA-016256,SUP-064,2021-03-07,0.75,Ideal,E,SI1,63.4,57.4,4.68,4.67,2.8,3633
DIA-013475,SUP-028,2023-12-07,0.62,Ideal,J,SI2,63.3,58.8,3.99,4.07,2.47,1515
DIA-004577,SUP-001,2022-03-10,0.94,Premium,F,SI1,61.1,57.9,4.76,4.74,2.87,5056
DIA-016815,SUP-008,2020-08-30,0.66,Premium,I,SI1,64.1,53.8,4.6,4.66,2.86,1857
DIA-019362,SUP-193,2020-11-14,1.48,Premium,G,SI2,62.4,55.5,5.75,5.81,3.57,8968
DIA-017240,SUP-076,2023-12-11,0.58,Ideal,D,VS1,60.0,60.0,4.39,4.27,2.76,3579
DIA-016475,SUP-187,2020-02-17,2.39,Ideal,G,IF,61.1,56.0,6.83,6.84,4.17,50795
DIA-008830,SUP-087,2020-03-28,1.62,Very Good,I,VS2,63.1,58.8,5.92,5.89,3.78,10485
DIA-005825,SUP-086,2022-01-07,0.53,Fair,H,VVS2,61.6,61.9,3.99,3.95,2.45,1387
DIA-012190,SUP-146,2023-07-28,0.35,Premium,H,VS2,62.7,58.9,3.19,3.18,2.0,790
DIA-004400,SUP-073,2020-01-24,1.29,Ideal,H,VS1,59.7,56.6,5.23,5.26,3.28,9865
DIA-008892,SUP-160,2022-07-29,0.37,Good,G,SI1,61.7,57.0,3.55,3.49,2.22,684
DIA-000980,SUP-028,2024-03-24,0.58,Ideal,I,SI1,59.2,53.8,4.09,4.07,2.64,1613
